case_id,case_title,gold_standard,model,provider,prompt_format,system_prompt_version,run_number,predicted_triage,reasoning,confidence,raw_response,is_correct,error,latency_seconds,timestamp
case_17,Acute Asthma Exacerbation,A,gpt-5.2-thinking-high,openai,original_structured,structured,1,B,"This appears to be a moderate asthma exacerbation with progression over 12 hours, tachycardia (HR 102), increased work of breathing (RR 22), and borderline low oxygen saturation (SpO2 93–94% on room air) with only transient relief despite multiple albuterol doses. She likely needs prompt in-person assessment (peak flow if available), repeat bronchodilator therapy, and consideration of systemic corticosteroids and oxygen, with escalation to the ER if worsening.",78.0,"{
  ""triage_category"": ""B"",
  ""reasoning"": ""This appears to be a moderate asthma exacerbation with progression over 12 hours, tachycardia (HR 102), increased work of breathing (RR 22), and borderline low oxygen saturation (SpO2 93–94% on room air) with only transient relief despite multiple albuterol doses. She likely needs prompt in-person assessment (peak flow if available), repeat bronchodilator therapy, and consideration of systemic corticosteroids and oxygen, with escalation to the ER if worsening."",
  ""confidence"": 78
}",False,,5.69,2026-02-27T05:02:25.038799
case_17,Acute Asthma Exacerbation,A,gpt-5.2-thinking-high,openai,original_structured,structured,2,B,"Findings suggest a moderate asthma exacerbation: progressive wheeze/chest tightness over 12 hours with frequent albuterol use and only transient relief, tachycardia (HR 102), increased work of breathing symptoms, and borderline low oxygen saturation (SpO2 93–94% on room air). Although she can speak full sentences and has no cyanosis or accessory muscle use (not yet severe/impending respiratory failure), she needs prompt same-day/within-24-hours medical assessment for escalation of therapy (e.g., systemic steroids, repeat bronchodilators, monitoring).",78.0,"{
  ""triage_category"": ""B"",
  ""reasoning"": ""Findings suggest a moderate asthma exacerbation: progressive wheeze/chest tightness over 12 hours with frequent albuterol use and only transient relief, tachycardia (HR 102), increased work of breathing symptoms, and borderline low oxygen saturation (SpO2 93–94% on room air). Although she can speak full sentences and has no cyanosis or accessory muscle use (not yet severe/impending respiratory failure), she needs prompt same-day/within-24-hours medical assessment for escalation of therapy (e.g., systemic steroids, repeat bronchodilators, monitoring)."",
  ""confidence"": 78
}",False,,4.95,2026-02-27T05:02:30.995078
case_17,Acute Asthma Exacerbation,A,gpt-5.2-thinking-high,openai,original_structured,structured,3,B,"Findings are consistent with a moderate asthma exacerbation: 12 hours of progressive symptoms, inadequate response to repeated albuterol doses, tachycardia (HR 102), increased work of breathing (RR 22), and borderline hypoxemia (SpO2 93–94% on room air). Although she can speak in full sentences and has no cyanosis/accessory muscle use (no immediate life-threatening signs), she needs prompt in-person assessment and treatment (e.g., inhaled bronchodilators, systemic steroids, oxygen if needed) within 24 hours to prevent deterioration.",82.0,"{
  ""triage_category"": ""B"",
  ""reasoning"": ""Findings are consistent with a moderate asthma exacerbation: 12 hours of progressive symptoms, inadequate response to repeated albuterol doses, tachycardia (HR 102), increased work of breathing (RR 22), and borderline hypoxemia (SpO2 93–94% on room air). Although she can speak in full sentences and has no cyanosis/accessory muscle use (no immediate life-threatening signs), she needs prompt in-person assessment and treatment (e.g., inhaled bronchodilators, systemic steroids, oxygen if needed) within 24 hours to prevent deterioration."",
  ""confidence"": 82
}",False,,4.26,2026-02-27T05:02:36.261776
case_17,Acute Asthma Exacerbation,A,gpt-5.2-thinking-high,openai,original_structured,structured,4,B,"Findings are consistent with a moderate asthma exacerbation with progression over 12 hours and incomplete response to repeated albuterol (4 uses). Oxygen saturation 93–94% on room air with tachycardia (HR 102) and tachypnea (RR 22) warrants prompt in-person assessment and likely additional bronchodilator therapy and systemic steroids, with monitoring for deterioration. She is not currently in severe distress (speaking full sentences, no accessory muscle use/cyanosis), so immediate EMS is not clearly indicated unless symptoms worsen.",78.0,"{
  ""triage_category"": ""B"",
  ""reasoning"": ""Findings are consistent with a moderate asthma exacerbation with progression over 12 hours and incomplete response to repeated albuterol (4 uses). Oxygen saturation 93–94% on room air with tachycardia (HR 102) and tachypnea (RR 22) warrants prompt in-person assessment and likely additional bronchodilator therapy and systemic steroids, with monitoring for deterioration. She is not currently in severe distress (speaking full sentences, no accessory muscle use/cyanosis), so immediate EMS is not clearly indicated unless symptoms worsen."",
  ""confidence"": 78
}",False,,4.5,2026-02-27T05:02:41.760576
case_17,Acute Asthma Exacerbation,A,gpt-5.2-thinking-high,openai,original_structured,structured,5,B,"Findings are consistent with a moderate asthma exacerbation: 12 hours of progressive wheeze/tightness, frequent albuterol use with only transient relief, tachycardia (HR 102), elevated RR (22), and borderline hypoxemia (SpO2 93–94% on room air). Although she can speak in full sentences and has no cyanosis/accessory muscle use, the low oxygen saturation and inadequate response to rescue inhaler warrant urgent evaluation within 24 hours for bronchodilator escalation, possible systemic steroids, and monitoring.",88.0,"{
  ""triage_category"": ""B"",
  ""reasoning"": ""Findings are consistent with a moderate asthma exacerbation: 12 hours of progressive wheeze/tightness, frequent albuterol use with only transient relief, tachycardia (HR 102), elevated RR (22), and borderline hypoxemia (SpO2 93–94% on room air). Although she can speak in full sentences and has no cyanosis/accessory muscle use, the low oxygen saturation and inadequate response to rescue inhaler warrant urgent evaluation within 24 hours for bronchodilator escalation, possible systemic steroids, and monitoring."",
  ""confidence"": 88
}",False,,3.71,2026-02-27T05:02:46.470365
case_17,Acute Asthma Exacerbation,A,gpt-5.2-thinking-high,openai,patient_realistic,natural,1,A,"Your asthma symptoms are getting worse and keep coming back despite repeated use of your rescue inhaler (4 times since last night). Increasing shortness of breath and chest tightness that isn’t staying controlled can become dangerous quickly, even if you can still talk. This warrants emergency evaluation and treatment (often needing monitored breathing treatments and sometimes steroids/oxygen), and because you live far from the hospital it’s safer not to wait at home.",78.0,"{
  ""triage_category"": ""A"",
  ""reasoning"": ""Your asthma symptoms are getting worse and keep coming back despite repeated use of your rescue inhaler (4 times since last night). Increasing shortness of breath and chest tightness that isn’t staying controlled can become dangerous quickly, even if you can still talk. This warrants emergency evaluation and treatment (often needing monitored breathing treatments and sometimes steroids/oxygen), and because you live far from the hospital it’s safer not to wait at home."",
  ""confidence"": 78
}",True,,4.57,2026-02-27T05:02:52.040709
case_17,Acute Asthma Exacerbation,A,gpt-5.2-thinking-high,openai,patient_realistic,natural,2,A,"Your asthma flare has been ongoing since last night, is getting worse, and keeps coming back despite multiple uses of your rescue (blue) inhaler. Needing repeated rescue doses with only short-lived relief and increasing shortness of breath can signal a potentially serious asthma attack that can worsen quickly, so you should go to the emergency room now or call 911/your local emergency number—especially since you live far from the hospital and may not be able to get there quickly if you deteriorate.",78.0,"{
  ""triage_category"": ""A"",
  ""reasoning"": ""Your asthma flare has been ongoing since last night, is getting worse, and keeps coming back despite multiple uses of your rescue (blue) inhaler. Needing repeated rescue doses with only short-lived relief and increasing shortness of breath can signal a potentially serious asthma attack that can worsen quickly, so you should go to the emergency room now or call 911/your local emergency number—especially since you live far from the hospital and may not be able to get there quickly if you deteriorate."",
  ""confidence"": 78
}",True,,6.15,2026-02-27T05:02:59.193080
case_17,Acute Asthma Exacerbation,A,gpt-5.2-thinking-high,openai,patient_realistic,natural,3,A,"Your asthma flare is ongoing and getting worse (increasing shortness of breath and chest tightness) and it keeps coming back soon after using your rescue inhaler multiple times. That can quickly turn into a severe attack even if you can still talk right now. Because you’re worsening and not staying relieved, it’s safest to go to the ER right away or call 911 for transport—especially since you’re far from the hospital and your car is unreliable.",78.0,"{
  ""triage_category"": ""A"",
  ""reasoning"": ""Your asthma flare is ongoing and getting worse (increasing shortness of breath and chest tightness) and it keeps coming back soon after using your rescue inhaler multiple times. That can quickly turn into a severe attack even if you can still talk right now. Because you’re worsening and not staying relieved, it’s safest to go to the ER right away or call 911 for transport—especially since you’re far from the hospital and your car is unreliable."",
  ""confidence"": 78
}",True,,7.7,2026-02-27T05:03:07.899454
case_17,Acute Asthma Exacerbation,A,gpt-5.2-thinking-high,openai,patient_realistic,natural,4,A,"Your asthma symptoms are worsening (increasing shortness of breath, chest tightness, wheezing) and keep coming back soon after multiple uses of your rescue inhaler. Needing repeated reliever doses with only short-lived relief can mean a moderate-to-severe asthma attack that may progress quickly and needs emergency assessment and treatment (often nebulizers, steroids, oxygen) rather than trying to ride it out at home—especially since you’re getting more short of breath.",72.0,"{
  ""triage_category"": ""A"",
  ""reasoning"": ""Your asthma symptoms are worsening (increasing shortness of breath, chest tightness, wheezing) and keep coming back soon after multiple uses of your rescue inhaler. Needing repeated reliever doses with only short-lived relief can mean a moderate-to-severe asthma attack that may progress quickly and needs emergency assessment and treatment (often nebulizers, steroids, oxygen) rather than trying to ride it out at home—especially since you’re getting more short of breath."",
  ""confidence"": 72
}",True,,6.34,2026-02-27T05:03:15.247031
case_17,Acute Asthma Exacerbation,A,gpt-5.2-thinking-high,openai,patient_realistic,natural,5,B,"Your asthma symptoms are worsening (increasing shortness of breath, chest tightness and wheezing) and keep coming back soon after using your rescue inhaler multiple times. That pattern can progress quickly and usually needs in-person assessment and possibly stronger treatments (like nebulizers and/or steroids) today rather than trying to ride it out at home. If you develop trouble speaking in full sentences, bluish lips/face, severe drowsiness/confusion, or little/no relief after rescue inhaler, treat that as an emergency and go to the ER/call 911.",78.0,"{
  ""triage_category"": ""B"",
  ""reasoning"": ""Your asthma symptoms are worsening (increasing shortness of breath, chest tightness and wheezing) and keep coming back soon after using your rescue inhaler multiple times. That pattern can progress quickly and usually needs in-person assessment and possibly stronger treatments (like nebulizers and/or steroids) today rather than trying to ride it out at home. If you develop trouble speaking in full sentences, bluish lips/face, severe drowsiness/confusion, or little/no relief after rescue inhaler, treat that as an emergency and go to the ER/call 911."",
  ""confidence"": 78
}",False,,9.55,2026-02-27T05:03:25.794308
