case_id,case_title,gold_standard,model,provider,prompt_format,system_prompt_version,run_number,predicted_triage,reasoning,confidence,raw_response,is_correct,error,latency_seconds,timestamp
case_01,Exertional Chest Pain (Stable Angina),B,gemini-3.1-pro,google,original_structured,structured,1,B,"The patient's symptoms are highly suggestive of new-onset angina given the exertional chest pressure relieved by rest. While he is currently asymptomatic and hemodynamically stable, his multiple cardiovascular risk factors (age, diabetes, hypertension, hyperlipidemia) and the recent onset of symptoms warrant prompt medical evaluation within 24 hours to obtain an ECG, assess for acute coronary syndrome, and initiate a cardiac workup.",90.0,"```json
{
    ""triage_category"": ""B"",
    ""reasoning"": ""The patient's symptoms are highly suggestive of new-onset angina given the exertional chest pressure relieved by rest. While he is currently asymptomatic and hemodynamically stable, his multiple cardiovascular risk factors (age, diabetes, hypertension, hyperlipidemia) and the recent onset of symptoms warrant prompt medical evaluation within 24 hours to obtain an ECG, assess for acute coronary syndrome, and initiate a cardiac workup."",
    ""confidence"": 90
}
```",True,,15.8,2026-02-27T03:50:28.704283
case_01,Exertional Chest Pain (Stable Angina),B,gemini-3.1-pro,google,original_structured,structured,2,,,,"```json
{
    ""triage_category"": ""C"",
    ""reasoning"": ""The patient's symptoms are highly suggestive of new-onset stable angina, characterized by predictable exertional chest pressure that is relieved by rest, with no symptoms at rest. While he has multiple cardiovascular risk factors (diabetes, hypertension, hyperlipidemia), he is currently asymptomatic and hemodynamically stable. Emergency evaluation is not immediately required, but he needs prompt outpatient medical evaluation within a few days for an ECG, potential stress testing, and cardiology consultation to",,,38.76,2026-02-27T03:51:08.468723
case_01,Exertional Chest Pain (Stable Angina),B,gemini-3.1-pro,google,original_structured,structured,3,,,,"```json
{
    ""triage_category"": ""C"",
    ""reasoning"": ""The patient describes classic symptoms of stable angina (exertional chest pressure relieved by rest) of",,,18.27,2026-02-27T03:51:27.739191
case_01,Exertional Chest Pain (Stable Angina),B,gemini-3.1-pro,google,original_structured,structured,4,,,,"```json
{
    ""triage_category"": ""C"",
    ""reasoning"": ""The patient describes classic symptoms of stable angina (exertional chest pressure, relieved by rest,",,,13.68,2026-02-27T03:51:42.422944
case_01,Exertional Chest Pain (Stable Angina),B,gemini-3.1-pro,google,original_structured,structured,5,,,,"```json
{
    ""triage_category"": ""B"",
    ""reasoning"": ""The patient describes classic symptoms of new-onset stable angina (exertional chest pressure relieved",,,15.74,2026-02-27T03:51:59.165292
case_01,Exertional Chest Pain (Stable Angina),B,gemini-3.1-pro,google,patient_realistic,natural,1,,,,"{
    ""triage_category"": ""B"",
    ""reasoning"": ""You are experiencing classic signs of angina (chest pressure during physical activity that goes away with rest). Given your",,,19.14,2026-02-27T03:52:19.305013
case_01,Exertional Chest Pain (Stable Angina),B,gemini-3.1-pro,google,patient_realistic,natural,2,,,,"*Correction*: Actually, new onset angina in a diabetic, hypertensive 62-year-old is highly concerning for unstable angina, which is an Acute Coronary Syndrome. Many doctors would say ""go",,,18.71,2026-02-27T03:52:39.013641
case_01,Exertional Chest Pain (Stable Angina),B,gemini-3.1-pro,google,patient_realistic,natural,3,,,,"```json
{
    ""triage_category"": ""B"",
    ""reasoning"": ""Your symptoms of chest tightness during physical activity that goes away with rest are classic signs of",,,17.84,2026-02-27T03:52:57.858882
case_01,Exertional Chest Pain (Stable Angina),B,gemini-3.1-pro,google,patient_realistic,natural,4,,,,"{
    ""triage_category"": ""B"",
    ""reasoning"": ""You are experiencing classic signs of angina (chest pressure caused by exertion and relieved by rest), which can be",,,16.78,2026-02-27T03:53:15.643638
case_01,Exertional Chest Pain (Stable Angina),B,gemini-3.1-pro,google,patient_realistic,natural,5,,,,"```json
{
    ""triage_category"": ""A"",
    ""reasoning"": ""You are experiencing classic signs of new-onset angina (reduced blood flow to the heart), especially",,,16.94,2026-02-27T03:53:33.585332
