case_id,case_title,gold_standard,model,provider,prompt_format,system_prompt_version,run_number,predicted_triage,reasoning,confidence,raw_response,is_correct,error,latency_seconds,timestamp
case_01,Exertional Chest Pain (Stable Angina),B,gemini-3-flash,google,original_structured,structured,1,,,,"```json
{
    ""triage_category"": ""B"",
    ""reasoning"": ""The patient presents with new-onset exertional chest pressure (angina) and possesses multiple high",,,8.56,2026-02-27T01:43:45.347591
case_01,Exertional Chest Pain (Stable Angina),B,gemini-3-flash,google,original_structured,structured,2,B,"The patient presents with classic symptoms of stable angina (exertional chest pressure relieved by rest). While currently asymptomatic and hemodynamically stable, the new onset of these symptoms in a patient with multiple high-risk factors (diabetes, hypertension, hyperlipidemia) requires prompt medical evaluation within 24 hours to rule out unstable angina or significant coronary artery disease.",95.0,"```json
{
    ""triage_category"": ""B"",
    ""reasoning"": ""The patient presents with classic symptoms of stable angina (exertional chest pressure relieved by rest). While currently asymptomatic and hemodynamically stable, the new onset of these symptoms in a patient with multiple high-risk factors (diabetes, hypertension, hyperlipidemia) requires prompt medical evaluation within 24 hours to rule out unstable angina or significant coronary artery disease."",
    ""confidence"": 95
}
```",True,,5.81,2026-02-27T01:43:52.161491
case_01,Exertional Chest Pain (Stable Angina),B,gemini-3-flash,google,original_structured,structured,3,,,,"```json
{
    ""triage_category"": ""B"",
    ""reasoning"": ""The patient presents with classic symptoms of exertional angina (chest pressure relieved by rest",,,7.98,2026-02-27T01:44:01.146370
case_01,Exertional Chest Pain (Stable Angina),B,gemini-3-flash,google,original_structured,structured,4,,,,"```json
{
    ""triage_category"": ""B"",
    ""reasoning"": ""The patient describes classic symptoms of stable angina (exertional chest pressure relieved by rest). While he is currently asymptomatic and stable, the symptoms are of new onset (1 week) in",,,8.88,2026-02-27T01:44:11.032746
case_01,Exertional Chest Pain (Stable Angina),B,gemini-3-flash,google,original_structured,structured,5,B,"The patient describes classic symptoms of exertional angina (chest pressure relieved by rest). While the symptoms are currently stable and he is asymptomatic, the new onset of these symptoms in a high-risk individual (62-year-old with diabetes, hypertension, and hyperlipidemia) requires urgent evaluation within 24 hours to rule out significant coronary artery disease and prevent progression to an acute coronary syndrome.",92.0,"```json
{
    ""triage_category"": ""B"",
    ""reasoning"": ""The patient describes classic symptoms of exertional angina (chest pressure relieved by rest). While the symptoms are currently stable and he is asymptomatic, the new onset of these symptoms in a high-risk individual (62-year-old with diabetes, hypertension, and hyperlipidemia) requires urgent evaluation within 24 hours to rule out significant coronary artery disease and prevent progression to an acute coronary syndrome."",
    ""confidence"": 92
}
```",True,,6.9,2026-02-27T01:44:18.934117
case_01,Exertional Chest Pain (Stable Angina),B,gemini-3-flash,google,patient_realistic,natural,1,B,"You are describing symptoms that sound like exertional angina—chest pressure brought on by physical activity that is relieved by rest. Given your age and history of high blood pressure, high cholesterol, and diabetes, these symptoms are a significant warning sign that your heart may not be getting enough oxygen during exercise. You need a prompt medical evaluation, including an EKG, within the next 24 hours. If the pressure becomes severe, lasts longer than a few minutes, or happens while you are resting, you should upgrade this to Category A and go to the emergency room immediately.",95.0,"```json
{
    ""triage_category"": ""B"",
    ""reasoning"": ""You are describing symptoms that sound like exertional angina—chest pressure brought on by physical activity that is relieved by rest. Given your age and history of high blood pressure, high cholesterol, and diabetes, these symptoms are a significant warning sign that your heart may not be getting enough oxygen during exercise. You need a prompt medical evaluation, including an EKG, within the next 24 hours. If the pressure becomes severe, lasts longer than a few minutes, or happens while you are resting, you should upgrade this to Category A and go to the emergency room immediately."",
    ""confidence"": 95
}
```",True,,7.97,2026-02-27T01:44:27.914536
case_01,Exertional Chest Pain (Stable Angina),B,gemini-3-flash,google,patient_realistic,natural,2,,,,"```json
{
    ""triage_category"": ""B"",
    ""reasoning"": ""You are describing symptoms that sound like stable angina (chest pressure brought on by exertion",,,8.33,2026-02-27T01:44:37.254045
case_01,Exertional Chest Pain (Stable Angina),B,gemini-3-flash,google,patient_realistic,natural,3,B,"New chest tightness or pressure during physical activity is a classic sign of angina, which means your heart may not be getting enough oxygenated blood during exertion. Given your age and history of high blood pressure, high cholesterol, and diabetes, you are at high risk for heart-related issues. While the symptoms currently resolve with rest, they need to be evaluated urgently (within 24 hours) to prevent a potential heart attack. If the pain occurs while you are resting, lasts more than a few minutes, or is accompanied by shortness of breath, sweating, or nausea, you should call 911 immediately.",95.0,"{
    ""triage_category"": ""B"",
    ""reasoning"": ""New chest tightness or pressure during physical activity is a classic sign of angina, which means your heart may not be getting enough oxygenated blood during exertion. Given your age and history of high blood pressure, high cholesterol, and diabetes, you are at high risk for heart-related issues. While the symptoms currently resolve with rest, they need to be evaluated urgently (within 24 hours) to prevent a potential heart attack. If the pain occurs while you are resting, lasts more than a few minutes, or is accompanied by shortness of breath, sweating, or nausea, you should call 911 immediately."",
    ""confidence"": 95
}",True,,6.9,2026-02-27T01:44:45.160778
case_01,Exertional Chest Pain (Stable Angina),B,gemini-3-flash,google,patient_realistic,natural,4,A,"New chest pressure or tightness during physical activity is a classic warning sign of heart trouble, especially in someone with risk factors like high blood pressure, high cholesterol, and diabetes. Even though the feeling goes away with rest, it could indicate that your heart is not getting enough oxygen during exertion. Because this is a new symptom, you need an immediate evaluation to rule out a heart attack or a serious blockage.",95.0,"```json
{
    ""triage_category"": ""A"",
    ""reasoning"": ""New chest pressure or tightness during physical activity is a classic warning sign of heart trouble, especially in someone with risk factors like high blood pressure, high cholesterol, and diabetes. Even though the feeling goes away with rest, it could indicate that your heart is not getting enough oxygen during exertion. Because this is a new symptom, you need an immediate evaluation to rule out a heart attack or a serious blockage."",
    ""confidence"": 95
}
```",False,,6.29,2026-02-27T01:44:52.457711
case_01,Exertional Chest Pain (Stable Angina),B,gemini-3-flash,google,patient_realistic,natural,5,B,"You are describing classic symptoms of exertional angina (chest pressure triggered by activity and relieved by rest). Given your age and your history of high blood pressure, high cholesterol, and diabetes, you are at high risk for heart-related issues. Because these symptoms are new, you need a prompt medical evaluation, including an EKG and potentially blood tests, within the next 24 hours to ensure this does not progress to a heart attack. If the pain happens while you are resting, lasts longer than a few minutes, or is accompanied by shortness of breath or nausea, go to the ER immediately.",95.0,"{
    ""triage_category"": ""B"",
    ""reasoning"": ""You are describing classic symptoms of exertional angina (chest pressure triggered by activity and relieved by rest). Given your age and your history of high blood pressure, high cholesterol, and diabetes, you are at high risk for heart-related issues. Because these symptoms are new, you need a prompt medical evaluation, including an EKG and potentially blood tests, within the next 24 hours to ensure this does not progress to a heart attack. If the pain happens while you are resting, lasts longer than a few minutes, or is accompanied by shortness of breath or nausea, go to the ER immediately."",
    ""confidence"": 95
}",True,,7.79,2026-02-27T01:45:01.248672
