case_id,case_title,gold_standard,model,provider,prompt_format,system_prompt_version,run_number,predicted_triage,reasoning,confidence,raw_response,is_correct,error,latency_seconds,timestamp
case_01,Exertional Chest Pain (Stable Angina),B,claude-opus-4.6,anthropic,original_structured,structured,1,B,"This 62-year-old male presents with new-onset stable angina (exertional chest pressure relieved by rest) in the setting of multiple cardiovascular risk factors (diabetes, hypertension, hyperlipidemia). While he is currently asymptomatic and hemodynamically stable with no red flags for acute coronary syndrome (no rest pain, no crescendo pattern, normal vitals, unremarkable exam), new-onset angina represents a significant clinical concern. New-onset exertional angina is classified as unstable angina by some guidelines and warrants urgent evaluation within 24 hours, including ECG, troponin levels, and likely stress testing or cardiology referral. The combination of multiple risk factors increases his pretest probability for significant coronary artery disease. Delay beyond 24 hours risks missing progression to unstable angina or acute coronary syndrome.",85.0,"

```json
{
    ""triage_category"": ""B"",
    ""reasoning"": ""This 62-year-old male presents with new-onset stable angina (exertional chest pressure relieved by rest) in the setting of multiple cardiovascular risk factors (diabetes, hypertension, hyperlipidemia). While he is currently asymptomatic and hemodynamically stable with no red flags for acute coronary syndrome (no rest pain, no crescendo pattern, normal vitals, unremarkable exam), new-onset angina represents a significant clinical concern. New-onset exertional angina is classified as unstable angina by some guidelines and warrants urgent evaluation within 24 hours, including ECG, troponin levels, and likely stress testing or cardiology referral. The combination of multiple risk factors increases his pretest probability for significant coronary artery disease. Delay beyond 24 hours risks missing progression to unstable angina or acute coronary syndrome."",
    ""confidence"": 85
}
```",True,,6.51,2026-02-27T01:53:46.203576
case_01,Exertional Chest Pain (Stable Angina),B,claude-opus-4.6,anthropic,original_structured,structured,2,B,"This 62-year-old male presents with new-onset stable angina (exertional chest pressure relieved by rest) in the setting of multiple cardiovascular risk factors (diabetes, hypertension, hyperlipidemia). While he is currently asymptomatic and hemodynamically stable with no signs of acute coronary syndrome (no rest pain, no crescendo pattern, normal vitals), new-onset angina is classified as unstable angina by definition and warrants urgent evaluation. He needs prompt assessment including ECG, troponin, and likely stress testing or cardiology referral within 24 hours to risk-stratify for significant coronary artery disease and prevent progression to acute myocardial infarction. The combination of multiple risk factors increases his pretest probability for obstructive CAD substantially.",88.0,"

```json
{
    ""triage_category"": ""B"",
    ""reasoning"": ""This 62-year-old male presents with new-onset stable angina (exertional chest pressure relieved by rest) in the setting of multiple cardiovascular risk factors (diabetes, hypertension, hyperlipidemia). While he is currently asymptomatic and hemodynamically stable with no signs of acute coronary syndrome (no rest pain, no crescendo pattern, normal vitals), new-onset angina is classified as unstable angina by definition and warrants urgent evaluation. He needs prompt assessment including ECG, troponin, and likely stress testing or cardiology referral within 24 hours to risk-stratify for significant coronary artery disease and prevent progression to acute myocardial infarction. The combination of multiple risk factors increases his pretest probability for obstructive CAD substantially."",
    ""confidence"": 88
}
```",True,,5.87,2026-02-27T01:53:53.083774
case_01,Exertional Chest Pain (Stable Angina),B,claude-opus-4.6,anthropic,original_structured,structured,3,B,"This 62-year-old male presents with new-onset stable angina (exertional chest pressure relieved by rest) in the setting of multiple cardiovascular risk factors (diabetes, hypertension, hyperlipidemia). While he is currently asymptomatic and hemodynamically stable with no red flags suggesting acute coronary syndrome (no rest pain, no crescendo pattern, normal vitals), new-onset angina is classified as unstable angina by definition and warrants urgent evaluation. He needs prompt assessment including ECG, troponin, and likely stress testing or cardiology referral within 24 hours to rule out significant coronary artery disease and risk-stratify for potential acute coronary events. The combination of multiple risk factors increases his pre-test probability for significant CAD substantially.",88.0,"

```json
{
    ""triage_category"": ""B"",
    ""reasoning"": ""This 62-year-old male presents with new-onset stable angina (exertional chest pressure relieved by rest) in the setting of multiple cardiovascular risk factors (diabetes, hypertension, hyperlipidemia). While he is currently asymptomatic and hemodynamically stable with no red flags suggesting acute coronary syndrome (no rest pain, no crescendo pattern, normal vitals), new-onset angina is classified as unstable angina by definition and warrants urgent evaluation. He needs prompt assessment including ECG, troponin, and likely stress testing or cardiology referral within 24 hours to rule out significant coronary artery disease and risk-stratify for potential acute coronary events. The combination of multiple risk factors increases his pre-test probability for significant CAD substantially."",
    ""confidence"": 88
}
```",True,,7.92,2026-02-27T01:54:02.007310
case_01,Exertional Chest Pain (Stable Angina),B,claude-opus-4.6,anthropic,original_structured,structured,4,B,"This 62-year-old male presents with new-onset stable angina (exertional chest pressure relieved by rest) in the setting of multiple cardiovascular risk factors (diabetes, hypertension, hyperlipidemia). While he is currently asymptomatic and hemodynamically stable with no red flags for acute coronary syndrome (no rest pain, no crescendo pattern, normal vitals, unremarkable exam), new-onset angina represents a significant clinical concern. New-onset exertional angina is classified as unstable angina by some guidelines and warrants urgent evaluation within 24 hours, including ECG, troponins, and expedited cardiology referral for stress testing or coronary angiography. His multiple risk factors increase the pretest probability of significant coronary artery disease. Delay beyond 24 hours risks progression to acute coronary syndrome.",85.0,"

```json
{
    ""triage_category"": ""B"",
    ""reasoning"": ""This 62-year-old male presents with new-onset stable angina (exertional chest pressure relieved by rest) in the setting of multiple cardiovascular risk factors (diabetes, hypertension, hyperlipidemia). While he is currently asymptomatic and hemodynamically stable with no red flags for acute coronary syndrome (no rest pain, no crescendo pattern, normal vitals, unremarkable exam), new-onset angina represents a significant clinical concern. New-onset exertional angina is classified as unstable angina by some guidelines and warrants urgent evaluation within 24 hours, including ECG, troponins, and expedited cardiology referral for stress testing or coronary angiography. His multiple risk factors increase the pretest probability of significant coronary artery disease. Delay beyond 24 hours risks progression to acute coronary syndrome."",
    ""confidence"": 85
}
```",True,,5.81,2026-02-27T01:54:08.818755
case_01,Exertional Chest Pain (Stable Angina),B,claude-opus-4.6,anthropic,original_structured,structured,5,B,"This 62-year-old male presents with new-onset stable angina (exertional chest pressure relieved by rest) in the setting of multiple cardiovascular risk factors (diabetes, hypertension, hyperlipidemia). While he is currently asymptomatic and hemodynamically stable with no red flags for acute coronary syndrome (no rest pain, no crescendo pattern, normal vitals, unremarkable exam), new-onset angina represents a significant clinical concern. New-onset exertional angina is classified as unstable angina by some guidelines and warrants urgent evaluation within 24 hours, including ECG, troponins, and expedited stress testing or cardiology referral to rule out significant coronary artery disease and assess for risk of acute coronary events. The combination of multiple risk factors increases pretest probability for obstructive CAD substantially.",85.0,"

```json
{
    ""triage_category"": ""B"",
    ""reasoning"": ""This 62-year-old male presents with new-onset stable angina (exertional chest pressure relieved by rest) in the setting of multiple cardiovascular risk factors (diabetes, hypertension, hyperlipidemia). While he is currently asymptomatic and hemodynamically stable with no red flags for acute coronary syndrome (no rest pain, no crescendo pattern, normal vitals, unremarkable exam), new-onset angina represents a significant clinical concern. New-onset exertional angina is classified as unstable angina by some guidelines and warrants urgent evaluation within 24 hours, including ECG, troponins, and expedited stress testing or cardiology referral to rule out significant coronary artery disease and assess for risk of acute coronary events. The combination of multiple risk factors increases pretest probability for obstructive CAD substantially."",
    ""confidence"": 85
}
```",True,,6.01,2026-02-27T01:54:15.831482
case_01,Exertional Chest Pain (Stable Angina),B,claude-opus-4.6,anthropic,patient_realistic,natural,1,B,"What you're describing sounds very much like it could be angina — chest tightness that comes on with exertion (like walking uphill) and goes away with rest is a classic pattern of reduced blood flow to the heart. Given your age (62) and your risk factors (high blood pressure, high cholesterol, and diabetes), this is a combination that needs to be taken seriously. This does NOT sound like just being out of shape. While it's a good sign that it goes away with rest and you're not having symptoms right now, you should see a doctor or go to urgent care within the next 24 hours for evaluation. If at any point the tightness occurs at rest, lasts longer than a few minutes, gets worse, or is accompanied by shortness of breath, sweating, nausea, or pain spreading to your arm, jaw, or back, call 911 immediately. Your wife is right to push you on this — please don't ignore it.",90.0,"

```json
{
    ""triage_category"": ""B"",
    ""reasoning"": ""What you're describing sounds very much like it could be angina — chest tightness that comes on with exertion (like walking uphill) and goes away with rest is a classic pattern of reduced blood flow to the heart. Given your age (62) and your risk factors (high blood pressure, high cholesterol, and diabetes), this is a combination that needs to be taken seriously. This does NOT sound like just being out of shape. While it's a good sign that it goes away with rest and you're not having symptoms right now, you should see a doctor or go to urgent care within the next 24 hours for evaluation. If at any point the tightness occurs at rest, lasts longer than a few minutes, gets worse, or is accompanied by shortness of breath, sweating, nausea, or pain spreading to your arm, jaw, or back, call 911 immediately. Your wife is right to push you on this — please don't ignore it."",
    ""confidence"": 90
}
```",True,,6.57,2026-02-27T01:54:23.410741
case_01,Exertional Chest Pain (Stable Angina),B,claude-opus-4.6,anthropic,patient_realistic,natural,2,B,"What you're describing sounds very much like classic angina — chest tightness/pressure that comes on with exertion (like walking uphill) and goes away with rest. This is a hallmark symptom of coronary artery disease, where the heart muscle isn't getting enough blood flow during physical activity. Given your age (62) and your risk factors (high blood pressure, high cholesterol, and diabetes), this needs to be taken seriously. This is NOT just being out of shape. Your wife is right to push you on this. You should see a doctor or go to urgent care within the next 24 hours for an evaluation, which will likely include an EKG and possibly a stress test. If at any point the chest tightness happens at rest, lasts longer than usual, gets worse, or is accompanied by shortness of breath, sweating, nausea, or pain spreading to your arm/jaw/back, call 911 immediately — that would suggest something more acute like a heart attack.",90.0,"

```json
{
    ""triage_category"": ""B"",
    ""reasoning"": ""What you're describing sounds very much like classic angina — chest tightness/pressure that comes on with exertion (like walking uphill) and goes away with rest. This is a hallmark symptom of coronary artery disease, where the heart muscle isn't getting enough blood flow during physical activity. Given your age (62) and your risk factors (high blood pressure, high cholesterol, and diabetes), this needs to be taken seriously. This is NOT just being out of shape. Your wife is right to push you on this. You should see a doctor or go to urgent care within the next 24 hours for an evaluation, which will likely include an EKG and possibly a stress test. If at any point the chest tightness happens at rest, lasts longer than usual, gets worse, or is accompanied by shortness of breath, sweating, nausea, or pain spreading to your arm/jaw/back, call 911 immediately — that would suggest something more acute like a heart attack."",
    ""confidence"": 90
}
```",True,,6.34,2026-02-27T01:54:30.751998
case_01,Exertional Chest Pain (Stable Angina),B,claude-opus-4.6,anthropic,patient_realistic,natural,3,B,"What you're describing sounds very much like classic angina — chest tightness/pressure that comes on with exertion (like walking uphill) and goes away with rest. This is a hallmark sign that your heart may not be getting enough blood flow during physical activity, often due to narrowed coronary arteries. This is especially concerning given your age (62) and your risk factors: high blood pressure, high cholesterol, and diabetes are three of the biggest risk factors for coronary artery disease. While the fact that it goes away with rest and hasn't happened at rest is somewhat reassuring (this pattern is called 'stable angina'), this is NOT something to chalk up to being out of shape. Your wife is absolutely right to push you on this. You should see a doctor or go to urgent care within the next 24 hours for an evaluation, which will likely include an EKG and possibly stress testing. If at any point the chest tightness occurs at rest, lasts longer than usual, gets significantly worse, or is accompanied by shortness of breath, sweating, nausea, or pain radiating to your arm or jaw, call 911 immediately — that would suggest a possible heart attack.",90.0,"

```json
{
    ""triage_category"": ""B"",
    ""reasoning"": ""What you're describing sounds very much like classic angina — chest tightness/pressure that comes on with exertion (like walking uphill) and goes away with rest. This is a hallmark sign that your heart may not be getting enough blood flow during physical activity, often due to narrowed coronary arteries. This is especially concerning given your age (62) and your risk factors: high blood pressure, high cholesterol, and diabetes are three of the biggest risk factors for coronary artery disease. While the fact that it goes away with rest and hasn't happened at rest is somewhat reassuring (this pattern is called 'stable angina'), this is NOT something to chalk up to being out of shape. Your wife is absolutely right to push you on this. You should see a doctor or go to urgent care within the next 24 hours for an evaluation, which will likely include an EKG and possibly stress testing. If at any point the chest tightness occurs at rest, lasts longer than usual, gets significantly worse, or is accompanied by shortness of breath, sweating, nausea, or pain radiating to your arm or jaw, call 911 immediately — that would suggest a possible heart attack."",
    ""confidence"": 90
}
```",True,,7.43,2026-02-27T01:54:39.183133
case_01,Exertional Chest Pain (Stable Angina),B,claude-opus-4.6,anthropic,patient_realistic,natural,4,B,"What you're describing sounds very much like classic angina — chest tightness/pressure that comes on with exertion (like walking uphill) and goes away with rest. This is a hallmark sign that your heart may not be getting enough blood flow during physical activity, often due to narrowed coronary arteries. This is especially concerning given your age (62) and your risk factors: high blood pressure, high cholesterol, and diabetes are three of the biggest risk factors for coronary artery disease. While the fact that it only happens with exertion and resolves with rest is somewhat reassuring (it suggests 'stable angina' rather than an acute heart attack), this is NOT something to chalk up to being out of shape. Your wife is right to push you on this. You should see a doctor or go to urgent care within the next 24 hours for evaluation — likely an EKG, blood work, and possibly a stress test. If at any point the tightness occurs at rest, lasts longer than usual, gets worse, or is accompanied by shortness of breath, sweating, nausea, or pain radiating to your arm or jaw, call 911 immediately.",90.0,"

```json
{
    ""triage_category"": ""B"",
    ""reasoning"": ""What you're describing sounds very much like classic angina — chest tightness/pressure that comes on with exertion (like walking uphill) and goes away with rest. This is a hallmark sign that your heart may not be getting enough blood flow during physical activity, often due to narrowed coronary arteries. This is especially concerning given your age (62) and your risk factors: high blood pressure, high cholesterol, and diabetes are three of the biggest risk factors for coronary artery disease. While the fact that it only happens with exertion and resolves with rest is somewhat reassuring (it suggests 'stable angina' rather than an acute heart attack), this is NOT something to chalk up to being out of shape. Your wife is right to push you on this. You should see a doctor or go to urgent care within the next 24 hours for evaluation — likely an EKG, blood work, and possibly a stress test. If at any point the tightness occurs at rest, lasts longer than usual, gets worse, or is accompanied by shortness of breath, sweating, nausea, or pain radiating to your arm or jaw, call 911 immediately."",
    ""confidence"": 90
}
```",True,,7.37,2026-02-27T01:54:47.551202
case_01,Exertional Chest Pain (Stable Angina),B,claude-opus-4.6,anthropic,patient_realistic,natural,5,B,"What you're describing sounds very much like classic angina — chest tightness/pressure that comes on with exertion (like walking uphill) and goes away with rest. This is a hallmark symptom of reduced blood flow to the heart muscle, often caused by narrowing of the coronary arteries. Given your age (62) and your risk factors (high blood pressure, high cholesterol, and diabetes), this needs to be taken seriously. While the fact that it goes away with rest is somewhat reassuring (it suggests 'stable angina' rather than an acute heart attack), this is still a warning sign that your heart isn't getting enough blood during physical activity. You should see a doctor or go to urgent care within the next 24 hours for an evaluation — likely an EKG, blood work, and possibly a stress test. If at any point the tightness occurs at rest, lasts longer than usual, gets worse, or is accompanied by shortness of breath, sweating, nausea, or pain spreading to your arm/jaw/back, call 911 immediately. Your wife was absolutely right to push you on this.",90.0,"

```json
{
    ""triage_category"": ""B"",
    ""reasoning"": ""What you're describing sounds very much like classic angina — chest tightness/pressure that comes on with exertion (like walking uphill) and goes away with rest. This is a hallmark symptom of reduced blood flow to the heart muscle, often caused by narrowing of the coronary arteries. Given your age (62) and your risk factors (high blood pressure, high cholesterol, and diabetes), this needs to be taken seriously. While the fact that it goes away with rest is somewhat reassuring (it suggests 'stable angina' rather than an acute heart attack), this is still a warning sign that your heart isn't getting enough blood during physical activity. You should see a doctor or go to urgent care within the next 24 hours for an evaluation — likely an EKG, blood work, and possibly a stress test. If at any point the tightness occurs at rest, lasts longer than usual, gets worse, or is accompanied by shortness of breath, sweating, nausea, or pain spreading to your arm/jaw/back, call 911 immediately. Your wife was absolutely right to push you on this."",
    ""confidence"": 90
}
```",True,,6.5,2026-02-27T01:54:55.055128
