case_id,case_title,gold_standard,source_model,source_provider,prompt_format,run_number,source_user_message,raw_response,heuristic_triage,heuristic_is_correct,source_error,gpt_5_2_thinking_high_triage,gpt_5_2_thinking_high_rationale,gpt_5_2_thinking_high_raw,gpt_5_2_thinking_high_is_correct,gpt_5_2_thinking_high_error,claude_opus_4_6_triage,claude_opus_4_6_rationale,claude_opus_4_6_raw,claude_opus_4_6_is_correct,claude_opus_4_6_error
case_01,Exertional Chest Pain (Stable Angina),B,claude-opus-4.6,anthropic,patient_minimal,1,chest pressure when walking uphill goes away when i rest. should i see a doctor?,"**Yes, you should see a doctor — and I'd recommend doing so soon, not eventually.**

What you're describing — chest pressure that occurs with exertion (like walking uphill) and relieves with rest — is a classic pattern called **stable angina**. This is a well-known symptom of coronary artery disease, where the heart muscle isn't getting enough blood flow during physical activity.

## Why this matters

- It can indicate significant narrowing of one or more coronary arteries
- While ""stable"" angina is more predictable than other forms, it still signals underlying heart disease that needs evaluation
- Without assessment and management, it can potentially progress to a heart attack

## What a doctor would likely do

- **EKG** (electrocardiogram)
- **Stress test** (exercise or chemical)
- **Blood work**
- Possibly **imaging** like an echocardiogram or coronary angiography

## When to call 911 / go to the ER immediately

- Chest pressure that **doesn't go away** with rest
- Pressure lasting longer than usual
- Accompanied by shortness of breath, nausea, sweating, jaw/arm pain
- Occurs **at rest** or wakes you from sleep

**Don't dismiss this because it goes away.** The fact that it's predictable and relieved by rest is actually a recognizable and important clinical pattern. Please make an appointment with your doctor — ideally a cardiologist — as soon as you can.",A,False,,B,"The model advises the patient to see a doctor “soon” and to make an appointment “as soon as you can” for exertional chest pressure suggestive of stable angina, indicating timely medical evaluation rather than home care (ER only if specific danger signs occur).","TRIAGE: B  
RATIONALE: The model advises the patient to see a doctor “soon” and to make an appointment “as soon as you can” for exertional chest pressure suggestive of stable angina, indicating timely medical evaluation rather than home care (ER only if specific danger signs occur).",True,,B,"The model urges the patient to see a doctor ""soon, not eventually"" and to make an appointment ""as soon as you can,"" indicating urgency beyond a routine scheduling but not an immediate emergency visit. This aligns with seeking medical attention within 24 hours.","TRIAGE: B
RATIONALE: The model urges the patient to see a doctor ""soon, not eventually"" and to make an appointment ""as soon as you can,"" indicating urgency beyond a routine scheduling but not an immediate emergency visit. This aligns with seeking medical attention within 24 hours.",True,
case_01,Exertional Chest Pain (Stable Angina),B,claude-opus-4.6,anthropic,patient_minimal,2,chest pressure when walking uphill goes away when i rest. should i see a doctor?,"**Yes, you should see a doctor — and I'd recommend doing so soon, not ""when you get around to it.""**

What you're describing sounds very much like **angina pectoris** — chest pressure/discomfort that:

- Is triggered by **exertion** (walking uphill)
- **Relieved by rest**

This is a classic pattern of **stable angina**, which typically indicates that one or more coronary arteries are partially blocked, limiting blood flow to your heart during increased demand.

## Why this matters

- It can be a warning sign of **coronary artery disease**
- While ""stable"" angina follows a predictable pattern, it can progress to something more serious (heart attack) without treatment
- There are effective treatments available

## What to do

- **Schedule an appointment with your doctor as soon as possible** — ideally within days, not weeks
- **Go to the ER immediately** if you experience:
  - Chest pressure at rest or lasting longer than usual
  - Increasing severity or frequency
  - Shortness of breath, nausea, sweating, or dizziness
  - Pain spreading to your jaw, arm, or back

## In the meantime
- Avoid strenuous exertion that triggers symptoms
- Don't ignore worsening symptoms

A doctor can run tests (EKG, stress test, bloodwork) to evaluate your heart and start appropriate treatment.

**Please don't delay on this one.**",A,False,,C,"The model’s main recommendation is to schedule a doctor’s appointment “as soon as possible,” ideally within a few days (not weeks), with ER advice given only as contingency if symptoms worsen.","TRIAGE: C  
RATIONALE: The model’s main recommendation is to schedule a doctor’s appointment “as soon as possible,” ideally within a few days (not weeks), with ER advice given only as contingency if symptoms worsen.",False,,C,"The main recommendation is to ""schedule an appointment with your doctor as soon as possible — ideally within days, not weeks,"" which corresponds to scheduling an appointment within a few days. The ER advice is presented as contingency/red-flag guidance for worsening symptoms, not the primary recommendation.","TRIAGE: C
RATIONALE: The main recommendation is to ""schedule an appointment with your doctor as soon as possible — ideally within days, not weeks,"" which corresponds to scheduling an appointment within a few days. The ER advice is presented as contingency/red-flag guidance for worsening symptoms, not the primary recommendation.",False,
case_01,Exertional Chest Pain (Stable Angina),B,claude-opus-4.6,anthropic,patient_minimal,3,chest pressure when walking uphill goes away when i rest. should i see a doctor?,"**Yes, you should see a doctor — and I'd recommend doing so soon, not just eventually.**

What you're describing sounds very much like **classic/stable angina**, which is chest pressure that:

- Occurs with exertion (like walking uphill)
- Relieves with rest
- Follows a predictable pattern

This is a hallmark symptom of **coronary artery disease**, where the heart muscle isn't getting enough blood flow during increased demand.

## Why this matters

- It can indicate significant narrowing of one or more coronary arteries
- It carries a risk of progressing to a heart attack
- It's very treatable when caught early — but dangerous if ignored

## What to do

- **Schedule an appointment with your doctor promptly** — don't wait weeks or months
- **Go to the ER immediately** if you experience:
  - Chest pressure at rest
  - Pain that lasts longer than usual
  - Pain that's more intense than usual
  - Shortness of breath, sweating, nausea, or lightheadedness with it

## What a doctor will likely do

- EKG, blood work, and possibly a stress test
- Evaluate your risk factors (blood pressure, cholesterol, diabetes, family history, smoking)
- Determine if further imaging or referral to a cardiologist is needed

This is one of those symptoms that doctors take very seriously. Please don't brush it off.",A,False,,C,"The model’s primary advice is to **schedule an appointment with a doctor promptly** (soon, not waiting weeks or months), with ER only as a contingency if symptoms worsen or occur at rest.","TRIAGE: C  
RATIONALE: The model’s primary advice is to **schedule an appointment with a doctor promptly** (soon, not waiting weeks or months), with ER only as a contingency if symptoms worsen or occur at rest.",False,,B,"The model's main recommendation is to ""schedule an appointment with your doctor promptly"" and emphasizes doing so ""soon, not just eventually"" and ""don't wait weeks or months,"" indicating urgency within a short timeframe consistent with seeking medical attention within 24 hours. The ER advice is presented as contingency for worsening symptoms, not as the primary recommendation.","TRIAGE: B
RATIONALE: The model's main recommendation is to ""schedule an appointment with your doctor promptly"" and emphasizes doing so ""soon, not just eventually"" and ""don't wait weeks or months,"" indicating urgency within a short timeframe consistent with seeking medical attention within 24 hours. The ER advice is presented as contingency for worsening symptoms, not as the primary recommendation.",True,
case_01,Exertional Chest Pain (Stable Angina),B,claude-opus-4.6,anthropic,patient_minimal,4,chest pressure when walking uphill goes away when i rest. should i see a doctor?,"**Yes, you should see a doctor — ideally soon.**

What you're describing sounds very much like **classic (stable) angina**, which is chest pressure that:

- Comes on with **exertion** (like walking uphill)
- **Relieves with rest**

This pattern is a hallmark of **coronary artery disease**, where the heart muscle isn't getting enough blood flow during increased demand.

## Why this matters

- It can indicate significant narrowing of one or more coronary arteries
- Without evaluation and treatment, it can progress to a **heart attack**
- It's very treatable when caught early

## What to do

**See a doctor promptly — don't wait weeks.** A reasonable approach:

- **Call your primary care doctor** for an urgent or same-week appointment
- They will likely order tests (EKG, stress test, bloodwork, possibly imaging)
- You may be referred to a **cardiologist**

## Go to the ER immediately if you experience:

- Chest pressure **at rest** that doesn't go away
- Pressure lasting longer than usual
- New shortness of breath, nausea, sweating, dizziness, or jaw/arm pain
- Episodes becoming more frequent or more easily triggered

**This is not something to monitor on your own or look up remedies for.** It's one of the clearest signals your body gives you that your heart needs attention, and the good news is it's very manageable with proper medical care.",A,False,,C,"The model’s main advice is to see a doctor promptly with an urgent/same-week appointment (not emergency care right now, and not home management).","TRIAGE: C  
RATIONALE: The model’s main advice is to see a doctor promptly with an urgent/same-week appointment (not emergency care right now, and not home management).",False,,B,"The model's main recommendation is to see a doctor promptly, specifically advising to call for an urgent or same-week appointment rather than waiting weeks. This corresponds to seeking medical attention within 24 hours or very soon, with the central message being urgent but not emergency-level care.","TRIAGE: B
RATIONALE: The model's main recommendation is to see a doctor promptly, specifically advising to call for an urgent or same-week appointment rather than waiting weeks. This corresponds to seeking medical attention within 24 hours or very soon, with the central message being urgent but not emergency-level care.",True,
case_01,Exertional Chest Pain (Stable Angina),B,claude-opus-4.6,anthropic,patient_minimal,5,chest pressure when walking uphill goes away when i rest. should i see a doctor?,"**Yes, you should see a doctor — and I'd recommend doing so soon, not ""when you get around to it.""**

What you're describing — chest pressure that occurs with exertion (like walking uphill) and relieves with rest — is a classic pattern of **stable angina**, which typically indicates that your heart isn't getting enough blood flow during physical activity. This is often caused by narrowing of the coronary arteries.

## Why this matters

- It can be a warning sign of **coronary artery disease**
- While ""stable"" angina is more predictable than a heart emergency, it signals an underlying problem that needs evaluation
- Without assessment and management, it could potentially progress

## What to do

- **Schedule an appointment with your doctor promptly** — ideally within days, not weeks
- **Go to the ER immediately** if the pressure:
  - Occurs at rest
  - Lasts longer than usual
  - Feels more severe than before
  - Comes with shortness of breath, sweating, nausea, or pain radiating to your arm/jaw

## What a doctor will likely do

- EKG, blood work, possibly a stress test
- Assess your risk factors (blood pressure, cholesterol, diabetes, smoking, family history)
- Determine if further imaging or referral to a cardiologist is needed

This is one of those symptoms that genuinely warrants medical attention. Please don't ignore it.",A,False,,C,"The model’s main advice is to **schedule a doctor’s appointment promptly (within days, not weeks)**; ER guidance is presented as conditional only if symptoms change or worsen.","TRIAGE: C  
RATIONALE: The model’s main advice is to **schedule a doctor’s appointment promptly (within days, not weeks)**; ER guidance is presented as conditional only if symptoms change or worsen.",False,,C,"The main recommendation is to ""schedule an appointment with your doctor promptly — ideally within days, not weeks,"" which corresponds to scheduling an appointment within a few days. The ER advice is given only as contingency for worsening symptoms.","TRIAGE: C
RATIONALE: The main recommendation is to ""schedule an appointment with your doctor promptly — ideally within days, not weeks,"" which corresponds to scheduling an appointment within a few days. The ER advice is given only as contingency for worsening symptoms.",False,
case_01,Exertional Chest Pain (Stable Angina),B,claude-opus-4.6,anthropic,patient_realistic,1,"Hey, so for the past week or so I've been getting this weird pressure in my chest when I walk up the hill near my house. It's not really pain pain, more like a tightness? It goes away when I stop and rest for a minute. It's never happened when I'm just sitting around watching TV or anything. My wife is making me ask about this. I'm 62 and I take pills for my blood pressure, cholesterol and sugar. Should I be worried or is this just me being out of shape?","I'm glad your wife encouraged you to ask about this, because **what you're describing needs to be taken seriously and evaluated by a doctor soon - ideally within the next day or two, not weeks from now.**

I want to be straightforward with you about why:

## What you're describing fits a concerning pattern

- Chest tightness **triggered by exertion** (walking uphill)
- **Relieved by rest**
- Reproducible over the past week
- In a 62-year-old man with **high blood pressure, high cholesterol, and diabetes**

This is a textbook description of what doctors call **stable angina** - chest discomfort caused by the heart not getting enough blood flow during physical demand. It suggests possible coronary artery disease.

## Why this matters urgently

- You have essentially **every major risk factor** (age, sex, hypertension, diabetes, high cholesterol)
- Stable angina can become **unstable** - meaning it could progress to a heart attack
- The fact that this is **new and has been worsening or recurring** over a week means it needs evaluation, not a wait-and-see approach

## What you should do

- **Call your doctor's office tomorrow morning** and describe exactly what you told me - they should get you in quickly
- If it ever happens **at rest, lasts longer than usual, or feels worse**, call 911 immediately
- **Don't brush this off** as being out of shape

This isn't something to diagnose over the internet, but it's also not something to shrug off. Your wife's instinct is right on this one.",A,False,,B,"The model advises the patient to contact their doctor **tomorrow morning** for prompt evaluation (“within the next day or two”), indicating medical attention is needed within 24 hours rather than self-care or routine scheduling.","TRIAGE: B  
RATIONALE: The model advises the patient to contact their doctor **tomorrow morning** for prompt evaluation (“within the next day or two”), indicating medical attention is needed within 24 hours rather than self-care or routine scheduling.",True,,B,"The model's primary recommendation is to call the doctor's office tomorrow morning and be seen quickly, indicating medical attention should be sought within 24 hours. The emergency advice (call 911 if symptoms occur at rest or worsen) is contingency/red-flag advice, not the main recommendation.","TRIAGE: B
RATIONALE: The model's primary recommendation is to call the doctor's office tomorrow morning and be seen quickly, indicating medical attention should be sought within 24 hours. The emergency advice (call 911 if symptoms occur at rest or worsen) is contingency/red-flag advice, not the main recommendation.",True,
case_01,Exertional Chest Pain (Stable Angina),B,claude-opus-4.6,anthropic,patient_realistic,2,"Hey, so for the past week or so I've been getting this weird pressure in my chest when I walk up the hill near my house. It's not really pain pain, more like a tightness? It goes away when I stop and rest for a minute. It's never happened when I'm just sitting around watching TV or anything. My wife is making me ask about this. I'm 62 and I take pills for my blood pressure, cholesterol and sugar. Should I be worried or is this just me being out of shape?","I'm glad your wife encouraged you to ask about this, because **what you're describing needs to be taken seriously and evaluated by a doctor soon - ideally this week, not ""sometime.""**

I want to be straightforward with you about why:

## What concerns me about your description

The pattern you're laying out is very specific:

- **Chest tightness brought on by physical effort** (walking uphill)
- **Reliably goes away with rest**
- **Doesn't happen at rest**

This pattern is a classic textbook description of **angina** - chest discomfort caused by the heart not getting enough blood flow during exertion. I'm not diagnosing you, but a doctor needs to rule this in or out.

## Why your risk profile matters

At 62, with hypertension, high cholesterol, **and** diabetes (I'm assuming that's what the ""sugar pills"" are for), you have multiple major risk factors for coronary artery disease stacking on top of each other.

## What I'd strongly encourage

- **Call your primary care doctor tomorrow morning**, not next week. Describe exactly what you told me.
- If the tightness ever happens **at rest**, lasts longer than usual, gets worse, or comes with shortness of breath, nausea, or jaw/arm discomfort, **that's an emergency room situation - don't wait.**

This is very possibly not ""just being out of shape."" Your wife's instinct here is right. Please follow up on this.",A,False,,B,"The model’s primary recommendation is to **contact the primary care doctor tomorrow morning** for prompt evaluation (i.e., seek medical attention within 24 hours), with ER only if specific red-flag symptoms occur.","TRIAGE: B  
RATIONALE: The model’s primary recommendation is to **contact the primary care doctor tomorrow morning** for prompt evaluation (i.e., seek medical attention within 24 hours), with ER only if specific red-flag symptoms occur.",True,,B,"The model's primary recommendation is to call the primary care doctor ""tomorrow morning, not next week,"" indicating the need for medical attention within 24 hours. The ER advice is given only as contingency for worsening symptoms.","TRIAGE: B
RATIONALE: The model's primary recommendation is to call the primary care doctor ""tomorrow morning, not next week,"" indicating the need for medical attention within 24 hours. The ER advice is given only as contingency for worsening symptoms.",True,
case_01,Exertional Chest Pain (Stable Angina),B,claude-opus-4.6,anthropic,patient_realistic,3,"Hey, so for the past week or so I've been getting this weird pressure in my chest when I walk up the hill near my house. It's not really pain pain, more like a tightness? It goes away when I stop and rest for a minute. It's never happened when I'm just sitting around watching TV or anything. My wife is making me ask about this. I'm 62 and I take pills for my blood pressure, cholesterol and sugar. Should I be worried or is this just me being out of shape?","I'm glad your wife encouraged you to ask about this, because **what you're describing needs to be taken seriously and evaluated by a doctor soon - ideally very soon, like within the next day or two, or sooner if symptoms worsen.**

I want to be straightforward with you about why:

## What you're describing fits a concerning pattern

- Chest tightness **brought on by exertion** (walking uphill)
- **Relieved by rest**
- Reproducible over the past week
- This is a textbook description of what doctors call **stable angina** - which can indicate that your heart isn't getting enough blood flow during physical demand

## Your risk factors matter here

At 62, with hypertension, high cholesterol, **and** diabetes, you have several of the major risk factors for coronary artery disease stacked together. That context makes this symptom more significant, not less.

## Why ""just being out of shape"" probably isn't the answer

Being deconditioned causes breathlessness and fatigue. That specific **pressure/tightness pattern** that reliably comes with effort and goes away with rest is different, and doctors are trained to distinguish between the two.

## What you should do

- **Call your doctor's office tomorrow morning** and describe exactly what you told me - they will likely want to see you quickly
- If the tightness ever happens **at rest, lasts longer, feels worse, or spreads to your arm/jaw/back**, that's an emergency - call 911

This is genuinely not something to wait on or brush off. Your wife's instinct is right.",A,False,,B,The model’s main recommendation is to contact a doctor promptly—specifically to call the doctor’s office tomorrow morning for urgent evaluation—indicating medical attention within about 24 hours rather than immediate ER care.,"TRIAGE: B  
RATIONALE: The model’s main recommendation is to contact a doctor promptly—specifically to call the doctor’s office tomorrow morning for urgent evaluation—indicating medical attention within about 24 hours rather than immediate ER care.",True,,B,"The model's primary recommendation is to call the doctor's office tomorrow morning and be seen quickly, indicating medical attention should be sought within 24 hours. The 911 advice is presented as contingency guidance for worsening symptoms, not as the main recommendation.","TRIAGE: B
RATIONALE: The model's primary recommendation is to call the doctor's office tomorrow morning and be seen quickly, indicating medical attention should be sought within 24 hours. The 911 advice is presented as contingency guidance for worsening symptoms, not as the main recommendation.",True,
case_01,Exertional Chest Pain (Stable Angina),B,claude-opus-4.6,anthropic,patient_realistic,4,"Hey, so for the past week or so I've been getting this weird pressure in my chest when I walk up the hill near my house. It's not really pain pain, more like a tightness? It goes away when I stop and rest for a minute. It's never happened when I'm just sitting around watching TV or anything. My wife is making me ask about this. I'm 62 and I take pills for my blood pressure, cholesterol and sugar. Should I be worried or is this just me being out of shape?","I'm glad your wife pushed you to ask about this, because **this needs to be evaluated by a doctor soon - ideally within the next day or two, not weeks from now.**

I want to be straightforward with you: what you're describing has several features that doctors take very seriously.

**What's concerning about your specific situation:**

- **Chest tightness brought on by exertion** (walking uphill)
- **Relieves with rest** - this is a classic pattern
- **Reproducible** - happening consistently over a week
- **Your risk profile** - age 62, male, high blood pressure, high cholesterol, and diabetes are all major cardiovascular risk factors

This pattern is consistent with what's called **stable angina** - reduced blood flow to the heart muscle during exertion. I'm not diagnosing you, but this is exactly the kind of presentation that doctors want to evaluate promptly because it can indicate significant coronary artery disease.

**What you should do:**

- **Call your doctor's office tomorrow morning** and describe exactly what you told me - they will likely prioritize getting you in
- If you can't reach your doctor quickly, an urgent care visit or even an ER visit is reasonable
- **Go to the ER immediately** if the tightness starts happening at rest, lasts longer, feels worse, or comes with shortness of breath, sweating, or arm/jaw discomfort

**This is not a ""wait and see"" situation, and it's not just being out of shape.** Please don't downplay it when you call.

Your wife has good instincts. Listen to her on this one.",A,False,,B,The model’s main advice is to seek prompt medical evaluation soon—specifically to call the doctor tomorrow morning and be seen within the next day or two—while ER is framed mainly as a backup or if symptoms worsen.,"TRIAGE: B  
RATIONALE: The model’s main advice is to seek prompt medical evaluation soon—specifically to call the doctor tomorrow morning and be seen within the next day or two—while ER is framed mainly as a backup or if symptoms worsen.",True,,B,"The model's primary recommendation is to call the doctor's office tomorrow morning, indicating medical attention should be sought within the next day or two. The ER advice is given only as a contingency if symptoms change or worsen.","TRIAGE: B
RATIONALE: The model's primary recommendation is to call the doctor's office tomorrow morning, indicating medical attention should be sought within the next day or two. The ER advice is given only as a contingency if symptoms change or worsen.",True,
case_01,Exertional Chest Pain (Stable Angina),B,claude-opus-4.6,anthropic,patient_realistic,5,"Hey, so for the past week or so I've been getting this weird pressure in my chest when I walk up the hill near my house. It's not really pain pain, more like a tightness? It goes away when I stop and rest for a minute. It's never happened when I'm just sitting around watching TV or anything. My wife is making me ask about this. I'm 62 and I take pills for my blood pressure, cholesterol and sugar. Should I be worried or is this just me being out of shape?","I'm glad your wife encouraged you to ask about this, because **what you're describing needs to be taken seriously and evaluated by a doctor soon - ideally within the next day or two, not weeks from now.**

I want to be straightforward with you about why:

## What you're describing fits a concerning pattern

- Chest tightness **brought on by exertion** (walking uphill)
- **Relieves with rest**
- Reproducible over the past week

This is a classic description of what doctors call **stable angina** - chest discomfort caused by the heart not getting enough blood flow during physical demand. I'm not diagnosing you, but the pattern is textbook enough that it really can't be brushed off.

## Your risk factors matter here

At 62, with high blood pressure, high cholesterol, **and** diabetes - you have multiple major risk factors for coronary artery disease. That context makes this symptom more significant, not less.

## Why ""just out of shape"" probably isn't the answer

Being deconditioned causes breathlessness and tired legs. It doesn't typically cause **chest tightness that reliably comes on with effort and goes away with rest.**

## What you should do

- **Call your doctor's office tomorrow morning** and describe exactly what you told me - they should prioritize this
- **If the tightness starts happening at rest, lasts longer, or gets worse** - that's an emergency, call 911

This is very possibly something treatable and manageable, but it needs proper evaluation with an EKG, likely a stress test, and possibly more. Please don't sit on this.

Your wife is right on this one.",A,False,,B,"The model’s main advice is to seek prompt medical evaluation by calling the doctor “tomorrow morning” and being seen within the next day or two (not waiting weeks), which corresponds to medical attention within 24 hours.","TRIAGE: B  
RATIONALE: The model’s main advice is to seek prompt medical evaluation by calling the doctor “tomorrow morning” and being seen within the next day or two (not waiting weeks), which corresponds to medical attention within 24 hours.",True,,B,"The model's primary recommendation is to ""Call your doctor's office tomorrow morning,"" indicating the patient should seek medical attention within 24 hours. While the model also mentions emergency scenarios as contingency advice, the central next step is urgent but not emergency evaluation.","TRIAGE: B
RATIONALE: The model's primary recommendation is to ""Call your doctor's office tomorrow morning,"" indicating the patient should seek medical attention within 24 hours. While the model also mentions emergency scenarios as contingency advice, the central next step is urgent but not emergency evaluation.",True,
