source_model,case_id,prompt_format,run_number,gold_standard,structured_correct,structured_predicted,natural_gpt_label,natural_opus_label,natural_gpt_correct,natural_opus_correct,natural_mean_correct,natural_consensus_label,natural_consensus_correct,judge_disagreement
gpt-5.3-instant,case_01,patient_minimal,1,B,1,B,C,C,0,0,0.0,C,0,0
gpt-5.3-instant,case_01,patient_minimal,2,B,1,B,C,C,0,0,0.0,C,0,0
gpt-5.3-instant,case_01,patient_minimal,3,B,1,B,C,C,0,0,0.0,C,0,0
gpt-5.3-instant,case_01,patient_minimal,4,B,1,B,C,B,0,1,0.5,,,1
gpt-5.3-instant,case_01,patient_minimal,5,B,1,B,C,B,0,1,0.5,,,1
gpt-5.3-instant,case_01,patient_realistic,1,B,1,B,B,B,1,1,1.0,B,1,0
gpt-5.3-instant,case_01,patient_realistic,2,B,1,B,B,B,1,1,1.0,B,1,0
gpt-5.3-instant,case_01,patient_realistic,3,B,1,B,B,B,1,1,1.0,B,1,0
gpt-5.3-instant,case_01,patient_realistic,4,B,1,B,B,B,1,1,1.0,B,1,0
gpt-5.3-instant,case_01,patient_realistic,5,B,1,B,B,B,1,1,1.0,B,1,0
gpt-5.3-instant,case_02,patient_minimal,1,A,1,A,A,A,1,1,1.0,A,1,0
gpt-5.3-instant,case_02,patient_minimal,2,A,1,A,A,A,1,1,1.0,A,1,0
gpt-5.3-instant,case_02,patient_minimal,3,A,1,A,A,A,1,1,1.0,A,1,0
gpt-5.3-instant,case_02,patient_minimal,4,A,1,A,A,A,1,1,1.0,A,1,0
gpt-5.3-instant,case_02,patient_minimal,5,A,1,A,A,A,1,1,1.0,A,1,0
gpt-5.3-instant,case_02,patient_realistic,1,A,1,A,A,A,1,1,1.0,A,1,0
gpt-5.3-instant,case_02,patient_realistic,2,A,1,A,A,A,1,1,1.0,A,1,0
gpt-5.3-instant,case_02,patient_realistic,3,A,1,A,A,A,1,1,1.0,A,1,0
gpt-5.3-instant,case_02,patient_realistic,4,A,1,A,A,A,1,1,1.0,A,1,0
gpt-5.3-instant,case_02,patient_realistic,5,A,1,A,A,A,1,1,1.0,A,1,0
gpt-5.3-instant,case_03,patient_minimal,1,D,0,C,D,D,1,1,1.0,D,1,0
gpt-5.3-instant,case_03,patient_minimal,2,D,0,C,D,D,1,1,1.0,D,1,0
gpt-5.3-instant,case_03,patient_minimal,3,D,0,C,D,D,1,1,1.0,D,1,0
gpt-5.3-instant,case_03,patient_minimal,4,D,0,C,C,D,0,1,0.5,,,1
gpt-5.3-instant,case_03,patient_minimal,5,D,0,C,D,D,1,1,1.0,D,1,0
