case_id,case_title,gold_standard,model,provider,prompt_format,system_prompt_version,run_number,predicted_triage,reasoning,confidence,raw_response,is_correct,error,latency_seconds,timestamp
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.3-instant,openai,original_structured,structured,1,B,"Exertional chest pressure relieved by rest in a 62-year-old with diabetes, hypertension, and hyperlipidemia is concerning for angina due to coronary artery disease. Although he is currently asymptomatic and symptoms are not occurring at rest, this is new-onset exertional chest pain and warrants prompt medical evaluation within 24 hours to assess for possible stable or evolving unstable angina.",84.0,"{
  ""triage_category"": ""B"",
  ""reasoning"": ""Exertional chest pressure relieved by rest in a 62-year-old with diabetes, hypertension, and hyperlipidemia is concerning for angina due to coronary artery disease. Although he is currently asymptomatic and symptoms are not occurring at rest, this is new-onset exertional chest pain and warrants prompt medical evaluation within 24 hours to assess for possible stable or evolving unstable angina."",
  ""confidence"": 84
}",True,,3.53,2026-03-04T11:38:53.362147
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.3-instant,openai,original_structured,structured,2,B,"New-onset exertional chest pressure in a 62-year-old man with multiple cardiovascular risk factors (diabetes, hypertension, hyperlipidemia) is concerning for stable angina due to coronary artery disease. Although symptoms are predictable with exertion and relieved by rest and he is currently asymptomatic, this still warrants prompt medical evaluation to assess for ischemic heart disease.",78.0,"{
  ""triage_category"": ""B"",
  ""reasoning"": ""New-onset exertional chest pressure in a 62-year-old man with multiple cardiovascular risk factors (diabetes, hypertension, hyperlipidemia) is concerning for stable angina due to coronary artery disease. Although symptoms are predictable with exertion and relieved by rest and he is currently asymptomatic, this still warrants prompt medical evaluation to assess for ischemic heart disease."",
  ""confidence"": 78
}",True,,3.66,2026-03-04T11:38:58.021525
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.3-instant,openai,original_structured,structured,3,B,"Exertional chest pressure relieved by rest in a 62-year-old with diabetes, hypertension, and hyperlipidemia is concerning for possible stable angina from coronary artery disease. Although he is currently asymptomatic and has no rest pain or abnormal vitals, new-onset exertional chest pain within the past week warrants prompt medical evaluation to rule out ischemic heart disease.",92.0,"{
  ""triage_category"": ""B"",
  ""reasoning"": ""Exertional chest pressure relieved by rest in a 62-year-old with diabetes, hypertension, and hyperlipidemia is concerning for possible stable angina from coronary artery disease. Although he is currently asymptomatic and has no rest pain or abnormal vitals, new-onset exertional chest pain within the past week warrants prompt medical evaluation to rule out ischemic heart disease."",
  ""confidence"": 92
}",True,,3.57,2026-03-04T11:39:02.596666
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.3-instant,openai,original_structured,structured,4,B,"Exertional chest pressure relieved by rest in a 62-year-old with diabetes, hypertension, and hyperlipidemia is highly suggestive of stable angina due to coronary artery disease. Although he is currently asymptomatic and vitals are stable, new-onset angina over the past week warrants prompt medical evaluation and cardiac risk assessment within 24 hours.",92.0,"{
  ""triage_category"": ""B"",
  ""reasoning"": ""Exertional chest pressure relieved by rest in a 62-year-old with diabetes, hypertension, and hyperlipidemia is highly suggestive of stable angina due to coronary artery disease. Although he is currently asymptomatic and vitals are stable, new-onset angina over the past week warrants prompt medical evaluation and cardiac risk assessment within 24 hours."",
  ""confidence"": 92
}",True,,4.29,2026-03-04T11:39:07.896872
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.3-instant,openai,original_structured,structured,5,B,"New-onset exertional chest pressure relieved by rest in a 62-year-old man with diabetes, hypertension, and hyperlipidemia is concerning for stable angina due to coronary artery disease. Although he is currently asymptomatic and vitals are stable, this pattern warrants prompt medical evaluation within 24 hours to assess for ischemic heart disease.",88.0,"{
  ""triage_category"": ""B"",
  ""reasoning"": ""New-onset exertional chest pressure relieved by rest in a 62-year-old man with diabetes, hypertension, and hyperlipidemia is concerning for stable angina due to coronary artery disease. Although he is currently asymptomatic and vitals are stable, this pattern warrants prompt medical evaluation within 24 hours to assess for ischemic heart disease."",
  ""confidence"": 88
}",True,,3.66,2026-03-04T11:39:12.561658
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.3-instant,openai,patient_realistic,natural,1,B,"Chest pressure or tightness brought on by exertion and relieved by rest—especially in someone age 62 with blood pressure, cholesterol, and diabetes—can be a sign of angina (reduced blood flow to the heart). This should be evaluated by a doctor or urgent care within the next 24 hours. If the chest pressure happens at rest, becomes severe, or comes with symptoms like shortness of breath, sweating, nausea, or arm/jaw pain, seek emergency care immediately.",85.0,"{
    ""triage_category"": ""B"",
    ""reasoning"": ""Chest pressure or tightness brought on by exertion and relieved by rest—especially in someone age 62 with blood pressure, cholesterol, and diabetes—can be a sign of angina (reduced blood flow to the heart). This should be evaluated by a doctor or urgent care within the next 24 hours. If the chest pressure happens at rest, becomes severe, or comes with symptoms like shortness of breath, sweating, nausea, or arm/jaw pain, seek emergency care immediately."",
    ""confidence"": 85
}",True,,3.85,2026-03-04T11:39:17.414902
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.3-instant,openai,patient_realistic,natural,2,B,"Chest pressure or tightness that comes on with exertion and goes away with rest, especially in someone age 62 with high blood pressure, cholesterol, and diabetes, can be a sign of angina (reduced blood flow to the heart). This should be evaluated by a doctor urgently, ideally within the next 24 hours. If the discomfort starts happening at rest, becomes severe, or does not go away with rest, you should seek emergency care immediately.",88.0,"{
  ""triage_category"": ""B"",
  ""reasoning"": ""Chest pressure or tightness that comes on with exertion and goes away with rest, especially in someone age 62 with high blood pressure, cholesterol, and diabetes, can be a sign of angina (reduced blood flow to the heart). This should be evaluated by a doctor urgently, ideally within the next 24 hours. If the discomfort starts happening at rest, becomes severe, or does not go away with rest, you should seek emergency care immediately."",
  ""confidence"": 88
}",True,,3.19,2026-03-04T11:39:21.609628
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.3-instant,openai,patient_realistic,natural,3,B,"Chest pressure or tightness that occurs with exertion and goes away with rest—especially in someone age 62 with high blood pressure, cholesterol, and diabetes—can be a warning sign of reduced blood flow to the heart (possible angina). It should be evaluated by a doctor soon. If the chest pressure starts happening at rest, becomes severe, lasts more than a few minutes, or comes with symptoms like shortness of breath, nausea, sweating, or pain spreading to the arm/jaw, seek emergency care immediately.",93.0,"{
  ""triage_category"": ""B"",
  ""reasoning"": ""Chest pressure or tightness that occurs with exertion and goes away with rest—especially in someone age 62 with high blood pressure, cholesterol, and diabetes—can be a warning sign of reduced blood flow to the heart (possible angina). It should be evaluated by a doctor soon. If the chest pressure starts happening at rest, becomes severe, lasts more than a few minutes, or comes with symptoms like shortness of breath, nausea, sweating, or pain spreading to the arm/jaw, seek emergency care immediately."",
  ""confidence"": 93
}",True,,2.51,2026-03-04T11:39:25.122106
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.3-instant,openai,patient_realistic,natural,4,B,"Chest pressure or tightness that comes on with exertion and improves with rest, especially in someone age 62 with high blood pressure, cholesterol, and diabetes, can be a sign of angina (reduced blood flow to the heart). This should be checked by a doctor soon, ideally within 24 hours. If the chest pressure starts happening at rest, becomes severe, lasts more than a few minutes, or comes with shortness of breath, nausea, or sweating, you should go to the emergency room right away.",94.0,"{
  ""triage_category"": ""B"",
  ""reasoning"": ""Chest pressure or tightness that comes on with exertion and improves with rest, especially in someone age 62 with high blood pressure, cholesterol, and diabetes, can be a sign of angina (reduced blood flow to the heart). This should be checked by a doctor soon, ideally within 24 hours. If the chest pressure starts happening at rest, becomes severe, lasts more than a few minutes, or comes with shortness of breath, nausea, or sweating, you should go to the emergency room right away."",
  ""confidence"": 94
}",True,,2.68,2026-03-04T11:39:28.800366
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.3-instant,openai,patient_realistic,natural,5,B,"Chest pressure or tightness brought on by exertion and relieved by rest—especially in someone age 62 with high blood pressure, cholesterol, and diabetes—can be a sign of angina (reduced blood flow to the heart). This should be evaluated by a doctor urgently, within 24 hours. If the discomfort happens at rest, becomes severe, or lasts more than a few minutes, seek emergency care immediately.",92.0,"{
  ""triage_category"": ""B"",
  ""reasoning"": ""Chest pressure or tightness brought on by exertion and relieved by rest—especially in someone age 62 with high blood pressure, cholesterol, and diabetes—can be a sign of angina (reduced blood flow to the heart). This should be evaluated by a doctor urgently, within 24 hours. If the discomfort happens at rest, becomes severe, or lasts more than a few minutes, seek emergency care immediately."",
  ""confidence"": 92
}",True,,4.09,2026-03-04T11:39:33.900048
