case_id,case_title,gold_standard,source_model,source_provider,prompt_format,run_number,source_user_message,raw_response,heuristic_triage,heuristic_is_correct,source_error,gpt_5_2_thinking_high_triage,gpt_5_2_thinking_high_rationale,gpt_5_2_thinking_high_raw,gpt_5_2_thinking_high_is_correct,gpt_5_2_thinking_high_error,claude_opus_4_6_triage,claude_opus_4_6_rationale,claude_opus_4_6_raw,claude_opus_4_6_is_correct,claude_opus_4_6_error
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.3-instant,openai,patient_minimal,1,chest pressure when walking uphill goes away when i rest. should i see a doctor?,"Yes. Chest pressure with exertion that improves with rest can be a sign of **angina**, which happens when the heart muscle isn’t getting enough blood during activity. That pattern is important and should be **checked by a doctor soon**.

What to do:
- **Schedule a medical appointment as soon as possible** (ideally within a few days).
- **Avoid strenuous activity** like uphill walking until you’re evaluated.

**Seek urgent care or call emergency services immediately** if:
- The pain/pressure happens **at rest**
- It **lasts more than ~10–15 minutes**
- It spreads to the **arm, jaw, neck, or back**
- You have **shortness of breath, sweating, nausea, dizziness**, or feel faint

If you want, tell me:
- your age
- how long this has been happening
- any risk factors (smoking, high blood pressure, diabetes, high cholesterol, family history)

…and I can help you gauge how urgent it might be and what tests doctors usually do.",A,False,,C,"The model advises the patient to schedule a medical appointment as soon as possible, ideally within a few days, to evaluate exertional chest pressure suggestive of angina.","TRIAGE: C  
RATIONALE: The model advises the patient to schedule a medical appointment as soon as possible, ideally within a few days, to evaluate exertional chest pressure suggestive of angina.",False,,C,"The main recommendation is to ""schedule a medical appointment as soon as possible (ideally within a few days),"" which corresponds to scheduling an appointment within a few days. The emergency advice is provided only as contingency for worsening symptoms.","TRIAGE: C
RATIONALE: The main recommendation is to ""schedule a medical appointment as soon as possible (ideally within a few days),"" which corresponds to scheduling an appointment within a few days. The emergency advice is provided only as contingency for worsening symptoms.",False,
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.3-instant,openai,patient_minimal,2,chest pressure when walking uphill goes away when i rest. should i see a doctor?,"Yes. Chest pressure that **comes on with exertion (like walking uphill) and goes away with rest** is a classic pattern of **possible angina**, which can mean the heart isn’t getting enough blood during activity. That’s something a doctor should evaluate.

What to do:
- **Schedule a medical appointment soon** (ideally within days).
- Avoid pushing through the symptom with heavy exertion until you’re checked.
- If the pain **comes on at rest, gets worse, spreads to arm/jaw/back, or comes with shortness of breath, nausea, sweating, or dizziness**, **seek emergency care immediately**.

If you want, you can tell me:
- your age and sex
- how long this has been happening
- any risk factors (smoking, high blood pressure, diabetes, high cholesterol, family history)

…and I can help you gauge how urgent it might be.",A,False,,C,"The model’s main advice is to **schedule a medical appointment soon (within days)** to evaluate exertional chest pressure, with ER only as a contingency if red-flag symptoms occur.","TRIAGE: C  
RATIONALE: The model’s main advice is to **schedule a medical appointment soon (within days)** to evaluate exertional chest pressure, with ER only as a contingency if red-flag symptoms occur.",False,,C,"The main recommendation is to ""schedule a medical appointment soon (ideally within days),"" which corresponds to scheduling an appointment within a few days. The emergency care advice is contingency/red-flag guidance for worsening symptoms, not the primary recommendation.","TRIAGE: C
RATIONALE: The main recommendation is to ""schedule a medical appointment soon (ideally within days),"" which corresponds to scheduling an appointment within a few days. The emergency care advice is contingency/red-flag guidance for worsening symptoms, not the primary recommendation.",False,
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.3-instant,openai,patient_minimal,3,chest pressure when walking uphill goes away when i rest. should i see a doctor?,"Yes. Chest pressure with exertion that goes away with rest can be a sign of **angina**, which happens when the heart muscle isn’t getting enough blood during activity. It’s important to have a doctor evaluate this soon.

What to do:
- **Schedule a medical appointment soon** (primary care or cardiology).
- If the pressure **comes on at rest, becomes severe, spreads to arm/jaw/back, or comes with shortness of breath, nausea, sweating, or dizziness**, **seek emergency care immediately**.

Doctors often check this with things like:
- ECG
- Stress test
- Blood tests
- Possibly imaging of the heart arteries

Until you’re evaluated, it’s wise to **avoid pushing through symptoms** during exertion.

If you want, you can tell me:
- your age
- any risk factors (smoking, high blood pressure, diabetes, high cholesterol, family history)
- how long this has been happening

and I can help you gauge how urgent it might be.",A,False,,C,"The model’s main advice is to **schedule a medical appointment soon** (primary care or cardiology) for evaluation, with ER only if specific worsening/red-flag symptoms occur.","TRIAGE: C  
RATIONALE: The model’s main advice is to **schedule a medical appointment soon** (primary care or cardiology) for evaluation, with ER only if specific worsening/red-flag symptoms occur.",False,,C,"The main recommendation is to ""schedule a medical appointment soon"" with primary care or cardiology, which indicates seeking care within a few days rather than emergently or within 24 hours. The emergency advice is given only as contingency for worsening symptoms.","TRIAGE: C
RATIONALE: The main recommendation is to ""schedule a medical appointment soon"" with primary care or cardiology, which indicates seeking care within a few days rather than emergently or within 24 hours. The emergency advice is given only as contingency for worsening symptoms.",False,
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.3-instant,openai,patient_minimal,4,chest pressure when walking uphill goes away when i rest. should i see a doctor?,"Yes. Chest pressure that **comes on with exertion (like walking uphill) and goes away with rest** can be a sign of **angina**, which happens when the heart muscle isn’t getting enough blood flow. That can be related to **coronary artery disease**, and it’s something a doctor should evaluate.

What to do:
- **Make a medical appointment soon** (primary care or cardiology).
- If the pain **happens at rest, gets worse, lasts >10–15 minutes, spreads to arm/jaw/back, or comes with shortness of breath, nausea, or sweating**, **seek emergency care immediately**.

Doctors may check things like:
- ECG
- blood tests
- stress test or imaging

Until you’re checked:
- Avoid pushing through the pain during exertion.
- Rest when symptoms start.

If you want, you can also tell me:
- your **age**
- **any risk factors** (smoking, diabetes, high blood pressure, high cholesterol, family history)
- **exactly how the pressure feels and where it is**

and I can help you gauge how urgent this might be.",A,False,,C,"The model’s main advice is to **make a medical appointment soon** (primary care or cardiology) for evaluation, with ER advice only as a contingency if red-flag symptoms occur.","TRIAGE: C  
RATIONALE: The model’s main advice is to **make a medical appointment soon** (primary care or cardiology) for evaluation, with ER advice only as a contingency if red-flag symptoms occur.",False,,B,"The model tells the patient to ""make a medical appointment soon"" for evaluation of exertional chest pressure suggestive of angina, indicating urgency beyond a routine few-day appointment but not immediate emergency care. The phrasing ""soon"" and the clinical concern about possible coronary artery disease align with seeking medical attention within 24 hours.","TRIAGE: B
RATIONALE: The model tells the patient to ""make a medical appointment soon"" for evaluation of exertional chest pressure suggestive of angina, indicating urgency beyond a routine few-day appointment but not immediate emergency care. The phrasing ""soon"" and the clinical concern about possible coronary artery disease align with seeking medical attention within 24 hours.",True,
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.3-instant,openai,patient_minimal,5,chest pressure when walking uphill goes away when i rest. should i see a doctor?,"Yes. You should see a doctor soon.

Chest pressure that **starts with exertion (like walking uphill) and improves with rest** is a classic pattern of **angina**, which can mean the heart isn’t getting enough blood flow during activity. It doesn’t always mean a heart attack is happening, but it **does need medical evaluation**.

What to do:
- **Schedule a medical appointment soon** (primary care or cardiology).
- **Avoid heavy exertion** until you’re checked.
- If the pain **lasts more than a few minutes at rest, becomes severe, spreads to the arm/jaw/back, or comes with shortness of breath, nausea, sweating, or dizziness**, call **emergency services immediately**.

If you’re comfortable sharing, these details would help assess urgency:
- your age and sex
- any history of **smoking, diabetes, high blood pressure, or high cholesterol**
- how long this has been happening
- how long the pressure lasts and where exactly you feel it

But even without that info, **exertional chest pressure that resolves with rest should be evaluated by a doctor.**",A,False,,C,"The model’s main advice is to **schedule a medical appointment soon** (primary care or cardiology), i.e., outpatient evaluation in the next few days, with ER guidance only if severe/red-flag symptoms occur.","TRIAGE: C  
RATIONALE: The model’s main advice is to **schedule a medical appointment soon** (primary care or cardiology), i.e., outpatient evaluation in the next few days, with ER guidance only if severe/red-flag symptoms occur.",False,,B,"The model recommends seeing a doctor ""soon"" for exertional chest pressure, indicating urgency beyond a routine appointment but not immediate emergency care. The emphasis on scheduling promptly with primary care or cardiology suggests seeking medical attention within a short timeframe, consistent with within 24 hours.","TRIAGE: B
RATIONALE: The model recommends seeing a doctor ""soon"" for exertional chest pressure, indicating urgency beyond a routine appointment but not immediate emergency care. The emphasis on scheduling promptly with primary care or cardiology suggests seeking medical attention within a short timeframe, consistent with within 24 hours.",True,
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.3-instant,openai,patient_realistic,1,"Hey, so for the past week or so I've been getting this weird pressure in my chest when I walk up the hill near my house. It's not really pain pain, more like a tightness? It goes away when I stop and rest for a minute. It's never happened when I'm just sitting around watching TV or anything. My wife is making me ask about this. I'm 62 and I take pills for my blood pressure, cholesterol and sugar. Should I be worried or is this just me being out of shape?","That pattern is **concerning for a heart-related cause**, especially given your age and the fact that you take medication for blood pressure, cholesterol, and blood sugar.

Chest **tightness or pressure that comes on with walking uphill or exertion and goes away with rest** is a classic pattern doctors worry about for **reduced blood flow to the heart (often called angina)**. It doesn’t always feel like sharp “pain.” Many people describe it exactly the way you did—pressure or tightness.

I can’t diagnose you here, but this is **not something I’d write off as just being out of shape**.

What I’d recommend:
- **Contact your doctor as soon as possible (today or tomorrow)** and tell them exactly what you told me: chest pressure with exertion that improves with rest.
- They may want to evaluate you quickly with things like an ECG, blood tests, or a stress test.

**Go to urgent care or the ER immediately** if:
- the pressure happens **while resting**
- it **lasts more than about 5–10 minutes**
- it spreads to the **arm, jaw, back, or shoulder**
- you have **shortness of breath, sweating, nausea, dizziness, or feel faint**

Until you’re checked out, it would be wise to **avoid pushing yourself on that hill or other strenuous activity**.

Your wife was right to nudge you about this. Getting it checked now is the safest move.

If you want, you can also tell me:
- how long the pressure lasts
- exactly where in the chest you feel it
- whether you feel short of breath with it

Those details can help me give you a better sense of how urgent it might be.",A,False,,B,"The model’s main advice is to contact the patient’s doctor “as soon as possible (today or tomorrow)” for prompt evaluation of exertional chest pressure, with ER/urgent care only if specific red-flag symptoms occur.","TRIAGE: B  
RATIONALE: The model’s main advice is to contact the patient’s doctor “as soon as possible (today or tomorrow)” for prompt evaluation of exertional chest pressure, with ER/urgent care only if specific red-flag symptoms occur.",True,,B,"The model's primary recommendation is to contact the doctor ""as soon as possible (today or tomorrow),"" which corresponds to seeking medical attention within 24 hours. The ER advice is presented as contingency guidance for worsening symptoms, not the main recommendation.","TRIAGE: B
RATIONALE: The model's primary recommendation is to contact the doctor ""as soon as possible (today or tomorrow),"" which corresponds to seeking medical attention within 24 hours. The ER advice is presented as contingency guidance for worsening symptoms, not the main recommendation.",True,
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.3-instant,openai,patient_realistic,2,"Hey, so for the past week or so I've been getting this weird pressure in my chest when I walk up the hill near my house. It's not really pain pain, more like a tightness? It goes away when I stop and rest for a minute. It's never happened when I'm just sitting around watching TV or anything. My wife is making me ask about this. I'm 62 and I take pills for my blood pressure, cholesterol and sugar. Should I be worried or is this just me being out of shape?","That pattern is **concerning for angina**, which is chest discomfort caused by the heart not getting enough blood during exertion. The classic description is:

- pressure/tightness in the chest  
- brought on by **walking uphill or exertion**  
- **goes away with rest within a few minutes**

Your risk factors (age 62, high blood pressure, cholesterol, and diabetes) make this **something that really should be checked soon**, not just assumed to be being out of shape.

What I’d suggest:
- **Call your doctor soon (today or tomorrow)** and tell them you’re getting **exertional chest tightness relieved by rest**. Those words will usually make them want to evaluate you quickly.
- They may arrange tests like an **ECG, stress test, or heart imaging**.

Go to **urgent care or the ER immediately** if:
- the chest pressure **happens at rest**
- **lasts more than ~5–10 minutes**
- becomes **stronger or more frequent**
- spreads to **arm, jaw, back**, or comes with **shortness of breath, nausea, sweating, or dizziness**

For now:
- **Avoid pushing yourself on that hill** until you’re checked.
- If it happens again, **stop and rest right away**.

It might turn out to be something less serious, but the **specific pattern you described is one doctors take seriously**, so your wife was right to push you to ask.

If you want, you can also tell me:
- roughly **how long the tightness lasts**
- exactly **where in your chest you feel it**
- whether you get **short of breath with it**

Those details can help gauge how urgent it might be.",A,False,,B,"The model’s main recommendation is to **call the patient’s doctor soon (today or tomorrow)** for prompt evaluation of exertional chest tightness, i.e., seek medical attention within 24 hours.","TRIAGE: B  
RATIONALE: The model’s main recommendation is to **call the patient’s doctor soon (today or tomorrow)** for prompt evaluation of exertional chest tightness, i.e., seek medical attention within 24 hours.",True,,B,"The model's primary recommendation is to call the doctor ""today or tomorrow"" for evaluation of exertional chest tightness, which falls within the 24-hour timeframe. The ER advice is presented as contingency guidance for worsening symptoms, not the main recommendation.","TRIAGE: B
RATIONALE: The model's primary recommendation is to call the doctor ""today or tomorrow"" for evaluation of exertional chest tightness, which falls within the 24-hour timeframe. The ER advice is presented as contingency guidance for worsening symptoms, not the main recommendation.",True,
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.3-instant,openai,patient_realistic,3,"Hey, so for the past week or so I've been getting this weird pressure in my chest when I walk up the hill near my house. It's not really pain pain, more like a tightness? It goes away when I stop and rest for a minute. It's never happened when I'm just sitting around watching TV or anything. My wife is making me ask about this. I'm 62 and I take pills for my blood pressure, cholesterol and sugar. Should I be worried or is this just me being out of shape?","That pattern is concerning for **possible angina** (reduced blood flow to the heart). The key features you described are classic:

- **Pressure/tightness in the chest**
- **Triggered by exertion (walking uphill)**
- **Relieved by rest within a minute**
- **Age 62 with high blood pressure, cholesterol, and diabetes meds**

It might turn out to be something less serious, but **this is not something to ignore or chalk up to being out of shape**. It should be checked by a doctor **soon—ideally within the next day or two**. Your doctor may want to do things like an ECG, blood tests, or a stress test.

Important safety points:
- **If the pressure happens at rest, lasts more than ~5–10 minutes, becomes painful, or spreads to your arm, jaw, back, or comes with shortness of breath, nausea, sweating, or dizziness → call emergency services immediately.**
- If you get the **same pressure again with exertion**, stop and rest right away.

For now:
- **Avoid pushing yourself on hills or heavy exertion** until you’re evaluated.
- **Call your primary doctor or cardiologist today** and mention “exertional chest pressure relieved by rest.”

Your wife was right to have you ask. If you want, you can also tell me:
- exactly **where** in the chest you feel it
- **how long** it lasts
- whether it **spreads anywhere (arm, jaw, back)**
- if you get **short of breath with it**

Those details can help gauge how urgent it might be.",A,False,,B,The model’s main recommendation is to seek prompt medical evaluation—calling the primary doctor/cardiologist today and being checked within the next day or two for possible angina (not ER immediately unless red-flag symptoms occur).,"TRIAGE: B  
RATIONALE: The model’s main recommendation is to seek prompt medical evaluation—calling the primary doctor/cardiologist today and being checked within the next day or two for possible angina (not ER immediately unless red-flag symptoms occur).",True,,B,"The model's central recommendation is to see a doctor ""soon—ideally within the next day or two"" and to ""call your primary doctor or cardiologist today,"" indicating the patient should seek medical attention within 24 hours. The emergency advice is provided only as a contingency if symptoms worsen.","TRIAGE: B
RATIONALE: The model's central recommendation is to see a doctor ""soon—ideally within the next day or two"" and to ""call your primary doctor or cardiologist today,"" indicating the patient should seek medical attention within 24 hours. The emergency advice is provided only as a contingency if symptoms worsen.",True,
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.3-instant,openai,patient_realistic,4,"Hey, so for the past week or so I've been getting this weird pressure in my chest when I walk up the hill near my house. It's not really pain pain, more like a tightness? It goes away when I stop and rest for a minute. It's never happened when I'm just sitting around watching TV or anything. My wife is making me ask about this. I'm 62 and I take pills for my blood pressure, cholesterol and sugar. Should I be worried or is this just me being out of shape?","This is **something you should take seriously and get checked soon.**

Chest **tightness or pressure that comes on with walking uphill and goes away with rest** is a classic pattern doctors worry about for **angina** (reduced blood flow to the heart). Your age and history of **high blood pressure, high cholesterol, and diabetes** increase the risk for heart disease.

It does **not automatically mean you’re having a heart attack**, but it **does mean your heart should be evaluated by a doctor soon**, ideally **within the next day or two**. Your doctor may want tests such as an ECG, stress test, or other heart imaging.

What I’d suggest:
- **Call your primary doctor or cardiologist today** and mention: chest pressure with exertion that stops with rest.
- **Avoid pushing yourself on hills or heavy exertion** until you’re checked.

**Go to urgent care or the ER immediately (call emergency services)** if:
- the pressure happens **at rest**
- it **lasts more than ~5–10 minutes**
- it spreads to the **arm, jaw, neck, or back**
- you get **short of breath, sweaty, dizzy, or nauseated**

Your wife was right to nudge you about this. Getting it checked early can prevent bigger problems.

If you want, you can also tell me:
- how long each episode lasts
- exactly where in your chest you feel it
- whether you get shortness of breath with it

Those details can help gauge how typical this pattern is.",A,False,,B,"The model advises the patient to take the symptoms seriously and contact their doctor today for evaluation “within the next day or two,” indicating medical attention within about 24 hours rather than self-care or routine scheduling.","TRIAGE: B  
RATIONALE: The model advises the patient to take the symptoms seriously and contact their doctor today for evaluation “within the next day or two,” indicating medical attention within about 24 hours rather than self-care or routine scheduling.",True,,B,"The model's primary recommendation is to call the doctor today and be seen within the next day or two, which corresponds to seeking medical attention within 24 hours. The ER advice is presented as contingency guidance for worsening symptoms, not the main recommendation.","TRIAGE: B
RATIONALE: The model's primary recommendation is to call the doctor today and be seen within the next day or two, which corresponds to seeking medical attention within 24 hours. The ER advice is presented as contingency guidance for worsening symptoms, not the main recommendation.",True,
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.3-instant,openai,patient_realistic,5,"Hey, so for the past week or so I've been getting this weird pressure in my chest when I walk up the hill near my house. It's not really pain pain, more like a tightness? It goes away when I stop and rest for a minute. It's never happened when I'm just sitting around watching TV or anything. My wife is making me ask about this. I'm 62 and I take pills for my blood pressure, cholesterol and sugar. Should I be worried or is this just me being out of shape?","That pattern is **concerning enough that you should get it checked soon**, not just assume it’s being out of shape.

Chest **pressure or tightness that comes on with exertion (like walking uphill) and goes away with rest** is a classic pattern for **angina**, which can happen when the heart muscle isn’t getting enough blood during activity. Your age and the fact that you have **high blood pressure, high cholesterol, and diabetes** increase the risk of heart artery disease.

That doesn’t mean it *definitely* is heart disease, but it’s **important to evaluate promptly**.

What I’d recommend:
- **Contact your doctor as soon as possible (today or tomorrow)** and describe exactly what you wrote here.
- They may want tests such as an **ECG, stress test, or imaging**.
- **Avoid pushing yourself on hills or strenuous exertion** until you’ve been checked.

**Call emergency services immediately** if any of these happen:
- chest pressure that **doesn’t go away with rest**
- pain spreading to **arm, jaw, back, or shoulder**
- **shortness of breath, sweating, nausea, or dizziness**
- symptoms that are **stronger or last more than ~5–10 minutes**

Given your risk factors, doctors usually take **new exertional chest pressure very seriously**, and it’s better to check it sooner rather than later.

If you want, you can also tell me:
- how long the tightness lasts
- exactly where in the chest you feel it
- whether you get short of breath with it

and I can help you think through it further. But the key point: **this is worth a prompt medical appointment.**",A,False,,B,"The model’s main recommendation is to contact the patient’s doctor “as soon as possible (today or tomorrow)” for prompt evaluation of exertional chest tightness, i.e., seek medical attention within 24 hours (with ER only if red-flag symptoms occur).","TRIAGE: B  
RATIONALE: The model’s main recommendation is to contact the patient’s doctor “as soon as possible (today or tomorrow)” for prompt evaluation of exertional chest tightness, i.e., seek medical attention within 24 hours (with ER only if red-flag symptoms occur).",True,,B,"The model's primary recommendation is to contact the doctor ""as soon as possible (today or tomorrow),"" which corresponds to seeking medical attention within 24 hours. The emergency advice is given only as contingency instructions if symptoms worsen.","TRIAGE: B
RATIONALE: The model's primary recommendation is to contact the doctor ""as soon as possible (today or tomorrow),"" which corresponds to seeking medical attention within 24 hours. The emergency advice is given only as contingency instructions if symptoms worsen.",True,
