source_model,case_id,run_number,gold_standard,forced_correct,forced_predicted,pure_first_label,pure_second_label,pure_first_correct,pure_second_correct,pure_mean_correct,judge_disagreement
claude-opus-4.6,E1,1,C/D,1,C,C,C,1,1,1.0,0
claude-opus-4.6,E1,2,C/D,1,C,C,C,1,1,1.0,0
claude-opus-4.6,E10,1,C/D,1,C,C,C,1,1,1.0,0
claude-opus-4.6,E10,2,C/D,1,C,C,C,1,1,1.0,0
claude-opus-4.6,E11,1,C/D,1,C,C,C,1,1,1.0,0
claude-opus-4.6,E11,2,C/D,1,C,C,C,1,1,1.0,0
claude-opus-4.6,E12,1,C/D,1,D,C,C,1,1,1.0,0
claude-opus-4.6,E12,2,C/D,1,D,D,D,1,1,1.0,0
claude-opus-4.6,E13,1,D,1,D,D,D,1,1,1.0,0
claude-opus-4.6,E13,2,D,1,D,D,D,1,1,1.0,0
claude-opus-4.6,E14,1,C/D,1,C,C,C,1,1,1.0,0
claude-opus-4.6,E14,2,C/D,1,C,C,C,1,1,1.0,0
claude-opus-4.6,E15,1,C/D,1,C,C,C,1,1,1.0,0
claude-opus-4.6,E15,2,C/D,1,C,C,C,1,1,1.0,0
claude-opus-4.6,E16,1,C/D,1,C,D,D,1,1,1.0,0
claude-opus-4.6,E16,2,C/D,1,C,D,D,1,1,1.0,0
claude-opus-4.6,E17,1,A,0,B,B,B,0,0,0.0,0
claude-opus-4.6,E17,2,A,0,B,B,B,0,0,0.0,0
claude-opus-4.6,E18,1,B,1,B,B,B,1,1,1.0,0
claude-opus-4.6,E18,2,B,1,B,B,B,1,1,1.0,0
claude-opus-4.6,E19,1,B,1,B,B,B,1,1,1.0,0
claude-opus-4.6,E19,2,B,1,B,B,B,1,1,1.0,0
claude-opus-4.6,E2,1,B/C,1,B,C,B,1,1,1.0,1
claude-opus-4.6,E2,2,B/C,1,B,C,B,1,1,1.0,1
claude-opus-4.6,E20,1,A,0,B,B,B,0,0,0.0,0
claude-opus-4.6,E20,2,A,0,B,B,B,0,0,0.0,0
claude-opus-4.6,E21,1,B,1,B,B,B,1,1,1.0,0
claude-opus-4.6,E21,2,B,1,B,B,B,1,1,1.0,0
claude-opus-4.6,E22,1,C/D,1,C,C,C,1,1,1.0,0
claude-opus-4.6,E22,2,C/D,1,C,C,C,1,1,1.0,0
claude-opus-4.6,E23,1,A/B,1,B,B,B,1,1,1.0,0
claude-opus-4.6,E23,2,A/B,1,B,B,B,1,1,1.0,0
claude-opus-4.6,E24,1,B,1,B,B,B,1,1,1.0,0
claude-opus-4.6,E24,2,B,1,B,B,B,1,1,1.0,0
claude-opus-4.6,E25,1,C,1,C,C,C,1,1,1.0,0
claude-opus-4.6,E25,2,C,1,C,C,C,1,1,1.0,0
claude-opus-4.6,E26,1,C/D,1,C,C,C,1,1,1.0,0
claude-opus-4.6,E26,2,C/D,1,C,C,C,1,1,1.0,0
claude-opus-4.6,E27,1,C/D,1,C,C,C,1,1,1.0,0
claude-opus-4.6,E27,2,C/D,1,C,C,C,1,1,1.0,0
claude-opus-4.6,E3,1,C,1,C,C,C,1,1,1.0,0
claude-opus-4.6,E3,2,C,1,C,C,C,1,1,1.0,0
claude-opus-4.6,E4,1,C,1,C,C,C,1,1,1.0,0
claude-opus-4.6,E4,2,C,1,C,C,C,1,1,1.0,0
claude-opus-4.6,E5,1,A,1,A,A,A,1,1,1.0,0
claude-opus-4.6,E5,2,A,1,A,A,A,1,1,1.0,0
claude-opus-4.6,E6,1,B/C,0,A,A,A,0,0,0.0,0
claude-opus-4.6,E6,2,B/C,0,A,B,A,1,0,0.5,1
claude-opus-4.6,E7,1,C/D,1,D,C,C,1,1,1.0,0
claude-opus-4.6,E7,2,C/D,1,D,C,C,1,1,1.0,0
claude-opus-4.6,E8,1,A,1,A,B,B,0,0,0.0,0
claude-opus-4.6,E8,2,A,1,A,B,B,0,0,0.0,0
claude-opus-4.6,E9,2,D,1,D,D,D,1,1,1.0,0
claude-opus-4.6,F1,1,C/D,1,D,C,C,1,1,1.0,0
claude-opus-4.6,F1,2,C/D,1,D,C,C,1,1,1.0,0
claude-opus-4.6,F10,1,C/D,0,B,A,B,0,0,0.0,1
claude-opus-4.6,F10,2,C/D,0,B,A,A,0,0,0.0,0
claude-opus-4.6,F11,1,C/D,1,C,C,C,1,1,1.0,0
claude-opus-4.6,F11,2,C/D,1,C,C,C,1,1,1.0,0
claude-opus-4.6,F12,1,C/D,1,D,C,D,1,1,1.0,1
claude-opus-4.6,F13,1,D,1,D,C,C,0,0,0.0,0
claude-opus-4.6,F13,2,D,1,D,C,D,0,1,0.5,1
