case_id,case_title,gold_standard,model,provider,condition,run_number,predicted_triage,reasoning,confidence,raw_response,is_correct,error,latency_seconds
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,baseline,1,A,"Findings are classic for diabetic ketoacidosis with severe metabolic acidosis (pH 7.18, HCO3 10, anion gap 28), marked hyperglycemia (480), strong ketonemia, Kussmaul respirations, dehydration/hypotension with tachycardia, hyperkalemia (K 5.8), and acute kidney injury (Cr 2.1). This is a life-threat",99.0,"{
  ""triage_category"": ""A"",
  ""reasoning"": ""Findings are classic for diabetic ketoacidosis with severe metabolic acidosis (pH 7.18, HCO3 10, anion gap 28), marked hyperglycemia (480), strong ketonemia, Kussmaul respirations, dehydration/hypotension with tachycardia, hyperkalemia (K 5.8), and acute kidney injury (Cr 2.1). This is a life-threatening emergency requiring immediate ED/ICU-level care with IV fluids, insulin, electrolyte management, and close monitoring."",
  ""confidence"": 99
}",True,,3.75
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,baseline,2,A,"Findings are classic for severe diabetic ketoacidosis (missed insulin, glucose 480 mg/dL, pH 7.18, HCO3 10, anion gap 28, strongly positive ketones, Kussmaul respirations, dehydration, fruity breath) with complications including acute kidney injury (Cr 2.1) and hyperkalemia (K 5.8). This is life-thr",99.0,"{
  ""triage_category"": ""A"",
  ""reasoning"": ""Findings are classic for severe diabetic ketoacidosis (missed insulin, glucose 480 mg/dL, pH 7.18, HCO3 10, anion gap 28, strongly positive ketones, Kussmaul respirations, dehydration, fruity breath) with complications including acute kidney injury (Cr 2.1) and hyperkalemia (K 5.8). This is life-threatening and requires immediate ER care for IV fluids, insulin infusion, electrolyte/cardiac monitoring, and evaluation for precipitating causes."",
  ""confi",True,,3.46
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,baseline,3,A,"Findings are classic for severe diabetic ketoacidosis (missed insulin, glucose 480 mg/dL, pH 7.18, bicarbonate 10, anion gap 28, strong ketones, Kussmaul respirations, fruity breath) with dehydration/hypovolemia (tachycardia, borderline low BP, dry mucosa), acute kidney injury (Cr 2.1, BUN 38) and h",99.0,"{
  ""triage_category"": ""A"",
  ""reasoning"": ""Findings are classic for severe diabetic ketoacidosis (missed insulin, glucose 480 mg/dL, pH 7.18, bicarbonate 10, anion gap 28, strong ketones, Kussmaul respirations, fruity breath) with dehydration/hypovolemia (tachycardia, borderline low BP, dry mucosa), acute kidney injury (Cr 2.1, BUN 38) and hyperkalemia (K 5.8). This is life-threatening and requires immediate ER treatment with IV fluids, insulin infusion, electrolyte management, and close monito",True,,3.43
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,baseline,4,A,"Findings are consistent with severe diabetic ketoacidosis (missed insulin, glucose 480 mg/dL, pH 7.18, HCO3 10, anion gap 28, strong ketones, Kussmaul respirations, dehydration, fruity breath) with tachycardia, hypotension, acute kidney injury, and hyperkalemia (K 5.8), all of which require immediat",99.0,"{
  ""triage_category"": ""A"",
  ""reasoning"": ""Findings are consistent with severe diabetic ketoacidosis (missed insulin, glucose 480 mg/dL, pH 7.18, HCO3 10, anion gap 28, strong ketones, Kussmaul respirations, dehydration, fruity breath) with tachycardia, hypotension, acute kidney injury, and hyperkalemia (K 5.8), all of which require immediate emergency department management (IV fluids, insulin, electrolyte/cardiac monitoring) due to risk of shock and life-threatening arrhythmias."",
  ""confidenc",True,,3.76
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,baseline,5,A,"Findings are consistent with severe diabetic ketoacidosis: missed insulin, hyperglycemia (480), high anion gap metabolic acidosis (pH 7.18, HCO3 10, AG 28), strong ketones, Kussmaul respirations, dehydration with tachycardia and borderline hypotension, and acute kidney injury (Cr 2.1). Hyperkalemia ",99.0,"{
  ""triage_category"": ""A"",
  ""reasoning"": ""Findings are consistent with severe diabetic ketoacidosis: missed insulin, hyperglycemia (480), high anion gap metabolic acidosis (pH 7.18, HCO3 10, AG 28), strong ketones, Kussmaul respirations, dehydration with tachycardia and borderline hypotension, and acute kidney injury (Cr 2.1). Hyperkalemia (K 5.8) adds risk of cardiac arrhythmia. This requires immediate ER care for IV fluids, insulin infusion, electrolyte management, and close monitoring."",
  ",True,,3.26
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,+base_only,1,A,"Findings are classic for diabetic ketoacidosis after missed insulin (glucose 480, pH 7.18, bicarbonate 10, anion gap 28, strong ketones) with Kussmaul respirations, dehydration, tachycardia, acute kidney injury (Cr 2.1), and hyperkalemia (K 5.8), all of which require immediate emergency treatment wi",98.0,"{
  ""triage_category"": ""A"",
  ""reasoning"": ""Findings are classic for diabetic ketoacidosis after missed insulin (glucose 480, pH 7.18, bicarbonate 10, anion gap 28, strong ketones) with Kussmaul respirations, dehydration, tachycardia, acute kidney injury (Cr 2.1), and hyperkalemia (K 5.8), all of which require immediate emergency treatment with IV fluids, insulin, and electrolyte/cardiac monitoring."",
  ""confidence"": 98
}",True,,3.28
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,+base_only,2,A,"Findings are classic for diabetic ketoacidosis with severe metabolic acidosis (pH 7.18, HCO3 10, anion gap 28), marked hyperglycemia (480), strong ketones, Kussmaul respirations, dehydration, tachycardia/hypotension, hyperkalemia (K 5.8), and acute kidney injury (Cr 2.1). This is a life-threatening ",99.0,"{
  ""triage_category"": ""A"",
  ""reasoning"": ""Findings are classic for diabetic ketoacidosis with severe metabolic acidosis (pH 7.18, HCO3 10, anion gap 28), marked hyperglycemia (480), strong ketones, Kussmaul respirations, dehydration, tachycardia/hypotension, hyperkalemia (K 5.8), and acute kidney injury (Cr 2.1). This is a life-threatening emergency requiring immediate ER care for IV fluids, insulin, electrolyte management, and monitoring."",
  ""confidence"": 99
}",True,,3.04
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,+base_only,3,A,"Findings are consistent with severe diabetic ketoacidosis (missed insulin, glucose 480 mg/dL, pH 7.18, bicarbonate 10, anion gap 28, strong ketones) with dehydration, tachycardia, Kussmaul respirations, acute kidney injury (Cr 2.1), and hyperkalemia (K 5.8). This is a life-threatening emergency requ",98.0,"{
  ""triage_category"": ""A"",
  ""reasoning"": ""Findings are consistent with severe diabetic ketoacidosis (missed insulin, glucose 480 mg/dL, pH 7.18, bicarbonate 10, anion gap 28, strong ketones) with dehydration, tachycardia, Kussmaul respirations, acute kidney injury (Cr 2.1), and hyperkalemia (K 5.8). This is a life-threatening emergency requiring immediate ER care for IV fluids, insulin, and electrolyte/cardiac monitoring."",
  ""confidence"": 98
}",True,,3.01
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,+base_only,4,A,"Findings are consistent with diabetic ketoacidosis (missed insulin, glucose 480 mg/dL, pH 7.18, HCO3 10, anion gap 28, strong ketones, Kussmaul respirations, dehydration, tachycardia) with acute kidney injury and hyperkalemia (K 5.8), which is life-threatening and requires immediate emergency treatm",99.0,"{
  ""triage_category"": ""A"",
  ""reasoning"": ""Findings are consistent with diabetic ketoacidosis (missed insulin, glucose 480 mg/dL, pH 7.18, HCO3 10, anion gap 28, strong ketones, Kussmaul respirations, dehydration, tachycardia) with acute kidney injury and hyperkalemia (K 5.8), which is life-threatening and requires immediate emergency treatment (IV fluids, insulin, electrolyte management, close monitoring)."",
  ""confidence"": 99
}",True,,2.83
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,+base_only,5,A,"Findings are consistent with severe diabetic ketoacidosis due to missed insulin (glucose 480, pH 7.18, HCO3 10, anion gap 28, strongly positive ketones) with dehydration, tachycardia, Kussmaul respirations, acute kidney injury (Cr 2.1), and hyperkalemia (K 5.8). This is life-threatening and requires",98.0,"{
  ""triage_category"": ""A"",
  ""reasoning"": ""Findings are consistent with severe diabetic ketoacidosis due to missed insulin (glucose 480, pH 7.18, HCO3 10, anion gap 28, strongly positive ketones) with dehydration, tachycardia, Kussmaul respirations, acute kidney injury (Cr 2.1), and hyperkalemia (K 5.8). This is life-threatening and requires immediate emergency treatment with IV fluids, insulin, and close electrolyte/cardiac monitoring."",
  ""confidence"": 98
}",True,,2.91
