case_id,prompt_format,n_runs,structured_accuracy,natural_gpt_accuracy,natural_opus_accuracy,natural_mean_accuracy,natural_consensus_accuracy,delta_mean_minus_structured,judge_disagreements
case_01,patient_minimal,5,1.0,0.0,0.4,0.2,,-0.8,2
case_01,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
case_02,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
case_02,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
case_03,patient_minimal,5,0.0,0.8,1.0,0.9,,0.9,1
case_03,patient_realistic,5,0.0,0.8,0.8,0.8,0.8,0.8,0
case_04,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
case_04,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
case_05,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
case_05,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
case_06,patient_minimal,5,1.0,0.8,0.8,0.8,0.8,-0.19999999999999996,0
case_06,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
case_07,patient_minimal,5,0.0,0.8,0.6,0.7,,0.7,1
case_07,patient_realistic,5,0.6,1.0,1.0,1.0,1.0,0.4,0
case_08,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
case_08,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
case_09,patient_minimal,5,0.0,0.0,0.0,0.0,0.0,0.0,0
case_09,patient_realistic,5,0.0,0.0,0.0,0.0,0.0,0.0,0
case_10,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
case_10,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
case_11,patient_minimal,5,0.0,0.8,0.0,0.4,,0.4,4
case_11,patient_realistic,5,0.0,0.6,0.8,0.7,,0.7,1
case_12,patient_minimal,5,1.0,1.0,0.8,0.9,,-0.09999999999999998,1
case_12,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
case_13,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
case_13,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
case_14,patient_minimal,5,0.0,0.4,0.6,0.5,,0.5,1
case_14,patient_realistic,5,0.4,1.0,1.0,1.0,1.0,0.6,0
case_15,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
case_15,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
case_16,patient_minimal,5,1.0,1.0,0.4,0.7,,-0.30000000000000004,3
case_16,patient_realistic,5,1.0,0.8,0.8,0.8,,-0.19999999999999996,2
case_17,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
case_17,patient_realistic,5,0.8,0.4,0.2,0.3,,-0.5,1
