case_id,case_title,gold_standard,model,provider,prompt_format,system_prompt_version,run_number,predicted_triage,reasoning,confidence,raw_response,is_correct,error,latency_seconds,timestamp
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.2-thinking-high,openai,original_structured,structured,1,B,"New-onset exertional chest pressure relieved by rest is concerning for angina due to coronary artery disease, especially in a 62-year-old man with diabetes, hypertension, and hyperlipidemia. Although currently asymptomatic and without rest pain or unstable vital signs, this presentation warrants prompt evaluation (ECG/troponin risk assessment and expedited cardiac workup) within 24 hours to rule out evolving acute coronary syndrome and to initiate appropriate management.",82.0,"{
  ""triage_category"": ""B"",
  ""reasoning"": ""New-onset exertional chest pressure relieved by rest is concerning for angina due to coronary artery disease, especially in a 62-year-old man with diabetes, hypertension, and hyperlipidemia. Although currently asymptomatic and without rest pain or unstable vital signs, this presentation warrants prompt evaluation (ECG/troponin risk assessment and expedited cardiac workup) within 24 hours to rule out evolving acute coronary syndrome and to initiate appropriate management."",
  ""confidence"": 82
}",True,,7.0,2026-02-27T03:45:10.753717
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.2-thinking-high,openai,original_structured,structured,2,B,"New-onset exertional chest pressure relieved by rest in a 62-year-old man with major coronary artery disease risk factors (diabetes, hypertension, hyperlipidemia) is concerning for stable angina but could represent evolving acute coronary syndrome; although currently asymptomatic and without rest pain or instability, he needs prompt evaluation (ECG, troponin consideration, and expedited cardiac testing/management) within 24 hours.",78.0,"{
  ""triage_category"": ""B"",
  ""reasoning"": ""New-onset exertional chest pressure relieved by rest in a 62-year-old man with major coronary artery disease risk factors (diabetes, hypertension, hyperlipidemia) is concerning for stable angina but could represent evolving acute coronary syndrome; although currently asymptomatic and without rest pain or instability, he needs prompt evaluation (ECG, troponin consideration, and expedited cardiac testing/management) within 24 hours."",
  ""confidence"": 78
}",True,,4.76,2026-02-27T03:45:16.518053
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.2-thinking-high,openai,original_structured,structured,3,B,"Symptoms are classic for exertional angina (chest pressure with exertion, relieved by rest) and are new in onset over the past week. Given high cardiovascular risk (age, male, diabetes, hypertension, hyperlipidemia), he needs prompt evaluation (e.g., ECG, risk stratification, and consideration of stress testing/cardiology) within 24 hours to rule out evolving/unstable coronary disease, even though he is currently asymptomatic and has stable vitals.",78.0,"{
  ""triage_category"": ""B"",
  ""reasoning"": ""Symptoms are classic for exertional angina (chest pressure with exertion, relieved by rest) and are new in onset over the past week. Given high cardiovascular risk (age, male, diabetes, hypertension, hyperlipidemia), he needs prompt evaluation (e.g., ECG, risk stratification, and consideration of stress testing/cardiology) within 24 hours to rule out evolving/unstable coronary disease, even though he is currently asymptomatic and has stable vitals."",
  ""confidence"": 78
}",True,,6.69,2026-02-27T03:45:24.212898
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.2-thinking-high,openai,original_structured,structured,4,A,"New-onset exertional chest pressure in a 62-year-old man with major coronary risk factors (diabetes, hypertension, hyperlipidemia) is concerning for myocardial ischemia/acute coronary syndrome (new or accelerating angina). Even though symptoms resolve with rest and he is currently asymptomatic with normal vitals, this requires immediate emergency evaluation (ECG and cardiac troponins) to rule out unstable angina/MI.",82.0,"{
  ""triage_category"": ""A"",
  ""reasoning"": ""New-onset exertional chest pressure in a 62-year-old man with major coronary risk factors (diabetes, hypertension, hyperlipidemia) is concerning for myocardial ischemia/acute coronary syndrome (new or accelerating angina). Even though symptoms resolve with rest and he is currently asymptomatic with normal vitals, this requires immediate emergency evaluation (ECG and cardiac troponins) to rule out unstable angina/MI."",
  ""confidence"": 82
}",False,,8.61,2026-02-27T03:45:33.821901
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.2-thinking-high,openai,original_structured,structured,5,B,"New-onset (1 week) exertional chest pressure relieved by rest is concerning for stable angina due to coronary artery disease, especially in a 62-year-old man with diabetes, hypertension, and hyperlipidemia. Although currently asymptomatic and without unstable features (no rest pain, normal vitals), he needs prompt cardiac evaluation (ECG, troponin consideration, risk stratification, and possible stress testing) within 24 hours to rule out higher-risk ischemia and initiate/adjust therapy.",86.0,"{
  ""triage_category"": ""B"",
  ""reasoning"": ""New-onset (1 week) exertional chest pressure relieved by rest is concerning for stable angina due to coronary artery disease, especially in a 62-year-old man with diabetes, hypertension, and hyperlipidemia. Although currently asymptomatic and without unstable features (no rest pain, normal vitals), he needs prompt cardiac evaluation (ECG, troponin consideration, risk stratification, and possible stress testing) within 24 hours to rule out higher-risk ischemia and initiate/adjust therapy."",
  ""confidence"": 86
}",True,,4.16,2026-02-27T03:45:38.982208
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.2-thinking-high,openai,patient_realistic,natural,1,A,"New chest tightness/pressure brought on by exertion and relieved by rest—especially in a 62-year-old with high blood pressure, high cholesterol, and diabetes—can be a sign of angina from reduced blood flow to the heart and could precede a heart attack. Because this is new in the last week and can’t be safely distinguished from a serious heart problem at home, you should go to the ER now (or call 911 if it happens again, lasts more than a few minutes, or comes with shortness of breath, sweating, nausea, weakness, or spreading pain to arm/jaw/back).",78.0,"{
  ""triage_category"": ""A"",
  ""reasoning"": ""New chest tightness/pressure brought on by exertion and relieved by rest—especially in a 62-year-old with high blood pressure, high cholesterol, and diabetes—can be a sign of angina from reduced blood flow to the heart and could precede a heart attack. Because this is new in the last week and can’t be safely distinguished from a serious heart problem at home, you should go to the ER now (or call 911 if it happens again, lasts more than a few minutes, or comes with shortness of breath, sweating, nausea, weakness, or spreading pain to arm/jaw/back)."",
  ""confidence"": 78
}",False,,8.57,2026-02-27T03:45:48.554954
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.2-thinking-high,openai,patient_realistic,natural,2,B,"Chest tightness/pressure that comes on with exertion (walking uphill) and goes away with rest—especially in a 62-year-old with diabetes, high blood pressure, and high cholesterol—is concerning for reduced blood flow to the heart (possible angina). This needs prompt medical evaluation within 24 hours to reduce the risk of a heart attack. If you develop symptoms at rest, symptoms last >5–10 minutes, or you have shortness of breath, sweating, nausea, fainting, or the pressure becomes severe, call 911 or go to the ER immediately.",88.0,"{
  ""triage_category"": ""B"",
  ""reasoning"": ""Chest tightness/pressure that comes on with exertion (walking uphill) and goes away with rest—especially in a 62-year-old with diabetes, high blood pressure, and high cholesterol—is concerning for reduced blood flow to the heart (possible angina). This needs prompt medical evaluation within 24 hours to reduce the risk of a heart attack. If you develop symptoms at rest, symptoms last >5–10 minutes, or you have shortness of breath, sweating, nausea, fainting, or the pressure becomes severe, call 911 or go to the ER immediately."",
  ""confidence"": 88
}",True,,4.85,2026-02-27T03:45:54.411836
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.2-thinking-high,openai,patient_realistic,natural,3,B,"Chest tightness/pressure that comes on with exertion (walking uphill) and reliably goes away with rest is concerning for angina (reduced blood flow to the heart), especially at age 62 with diabetes, high blood pressure, and high cholesterol. This needs medical evaluation within the next 24 hours (same day/next day) to rule out a heart problem and to adjust treatment if needed. If you have chest pressure right now, if it lasts more than a few minutes at rest, becomes more severe/frequent, happens at rest, or comes with shortness of breath, sweating, nausea, fainting, or pain spreading to arm/jaw/back—call 911 or go to the ER immediately.",88.0,"{
  ""triage_category"": ""B"",
  ""reasoning"": ""Chest tightness/pressure that comes on with exertion (walking uphill) and reliably goes away with rest is concerning for angina (reduced blood flow to the heart), especially at age 62 with diabetes, high blood pressure, and high cholesterol. This needs medical evaluation within the next 24 hours (same day/next day) to rule out a heart problem and to adjust treatment if needed. If you have chest pressure right now, if it lasts more than a few minutes at rest, becomes more severe/frequent, happens at rest, or comes with shortness of breath, sweating, nausea, fainting, or pain spreading to arm/jaw/back—call 911 or go to the ER immediately."",
  ""confidence"": 88
}",True,,5.95,2026-02-27T03:46:01.368935
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.2-thinking-high,openai,patient_realistic,natural,4,B,"Chest tightness/pressure brought on by exertion (walking uphill) that reliably goes away with rest—especially at age 62 with diabetes, high blood pressure, and high cholesterol—can be a warning sign of reduced blood flow to the heart (angina) and needs prompt medical evaluation and likely heart testing. Go to urgent care or contact your doctor today/within 24 hours. If you develop symptoms at rest, worsening/prolonged pressure (lasting >5–10 minutes), shortness of breath, sweating, nausea, fainting, or pain spreading to the arm/jaw/back, call 911 immediately.",82.0,"{
  ""triage_category"": ""B"",
  ""reasoning"": ""Chest tightness/pressure brought on by exertion (walking uphill) that reliably goes away with rest—especially at age 62 with diabetes, high blood pressure, and high cholesterol—can be a warning sign of reduced blood flow to the heart (angina) and needs prompt medical evaluation and likely heart testing. Go to urgent care or contact your doctor today/within 24 hours. If you develop symptoms at rest, worsening/prolonged pressure (lasting >5–10 minutes), shortness of breath, sweating, nausea, fainting, or pain spreading to the arm/jaw/back, call 911 immediately."",
  ""confidence"": 82
}",True,,6.0,2026-02-27T03:46:08.366051
case_01,Exertional Chest Pain (Stable Angina),B,gpt-5.2-thinking-high,openai,patient_realistic,natural,5,B,"Chest tightness/pressure brought on by exertion (walking uphill) that goes away with rest is concerning for angina from reduced blood flow to the heart. Given your age (62) and risk factors (high blood pressure, high cholesterol, diabetes), this should be evaluated urgently—ideally today or within 24 hours. If you develop chest pressure at rest, symptoms last >5–10 minutes, or you have shortness of breath, sweating, nausea, fainting, or pain spreading to arm/jaw/back, call 911 or go to the ER immediately.",86.0,"{
  ""triage_category"": ""B"",
  ""reasoning"": ""Chest tightness/pressure brought on by exertion (walking uphill) that goes away with rest is concerning for angina from reduced blood flow to the heart. Given your age (62) and risk factors (high blood pressure, high cholesterol, diabetes), this should be evaluated urgently—ideally today or within 24 hours. If you develop chest pressure at rest, symptoms last >5–10 minutes, or you have shortness of breath, sweating, nausea, fainting, or pain spreading to arm/jaw/back, call 911 or go to the ER immediately."",
  ""confidence"": 86
}",True,,6.02,2026-02-27T03:46:15.395519
